,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,3.982e-08,1.244375e-09,1.0,3.675e-08,1.1484375e-09,1.0835374149659864,4.4149e-05,1.37965625e-06,0.000901945683933951,4.02542e-05,1.25794375e-06,0.000989213547903076
1,6,64,4.48e-08,7e-10,1.0,6.678e-08,1.0434375e-09,0.670859538784067,7.44236e-05,1.16286875e-06,0.0006019595934622888,7.35517e-05,1.1492453125e-06,0.0006090953710111391
2,7,128,6.893e-08,5.38515625e-10,1.0,7.05e-08,5.5078125e-10,0.9777304964539006,0.00013194,1.03078125e-06,0.0005224344398969228,0.000131443,1.0268984375e-06,0.0005244098202262578
3,8,256,1.1211e-07,4.379296875e-10,1.0,9.957e-08,3.889453125e-10,1.1259415486592348,0.000129655,5.0646484375e-07,0.0008646793413289113,0.00013006,5.08046875e-07,0.0008619867753344609
4,9,512,2.1355e-07,4.1708984375e-10,1.0,1.7222e-07,3.363671875e-10,1.2399837417256998,0.000129054,2.5205859375e-07,0.0016547336773753622,0.00020728,4.0484375e-07,0.001030248938633732
5,10,1024,4.0906e-07,3.9947265625e-10,1.0,2.1332e-07,2.083203125e-10,1.9175885992874553,0.000120585,1.177587890625e-07,0.0033922958908653646,0.000124982,1.22052734375e-07,0.0032729513049879182
6,11,2048,8.3702e-07,4.08701171875e-10,1.0,3.8244e-07,1.8673828125e-10,2.1886308963497543,0.000124162,6.06259765625e-08,0.006741354037467179,0.00016603,8.10693359375e-08,0.005041378064205264
7,12,4096,2.78154e-06,6.790869140625e-10,1.0,1.39254e-06,3.399755859375e-10,1.997457882717911,0.000125773,3.0706298828125e-08,0.022115557393081183,0.000135495,3.3079833984375e-08,0.020528727997343076
8,13,8192,5.57488e-06,6.8052734375e-10,1.0,2.51596e-06,3.071240234375e-10,2.215806292627864,0.000132175,1.61346435546875e-08,0.04217802156232268,0.000149652,1.826806640625e-08,0.03725229198406971
9,14,16384,9.42614e-06,5.75325927734375e-10,1.0,5.00576e-06,3.0552734375e-10,1.8830587163587547,0.00012955,7.9071044921875e-09,0.07276063296024701,0.000179922,1.09815673828125e-08,0.05239014684140906
10,15,32768,1.94108e-05,5.9237060546875e-10,1.0,1.08661e-05,3.316070556640625e-10,1.7863630925539065,0.000132057,4.030059814453125e-09,0.14698804304201973,0.000163016,4.974853515625e-09,0.11907297443195759
