,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.2088e-07,3.7775e-09,1.0,8.0864e-07,2.527e-08,0.1494855559952513,0.000555916,1.7372375e-05,0.00021744292303153715,0.000174837,5.46365625e-06,0.0006913868345945081
1,6,64,1.6724e-07,2.613125e-09,1.0,1.042e-07,1.628125e-09,1.6049904030710171,0.000171443,2.678796875e-06,0.0009754845633825821,0.000141982,2.21846875e-06,0.0011778957896071334
2,7,128,9.0132e-07,7.0415625e-09,1.0,1.334e-07,1.0421875e-09,6.756521739130435,0.00013525,1.056640625e-06,0.006664103512014787,0.00011681,9.12578125e-07,0.007716120195188768
3,8,256,4.736e-07,1.85e-09,1.0,1.7304e-07,6.759375e-10,2.736939435968562,0.000108389,4.2339453125e-07,0.0043694470841137015,0.000100368,3.920625e-07,0.004718635421648334
4,9,512,1.09128e-06,2.13140625e-09,1.0,2.6886e-07,5.251171875e-10,4.05891542066503,9.38095e-05,1.832216796875e-07,0.011632936962674355,8.21429e-05,1.604353515625e-07,0.013285140894709098
5,10,1024,1.62858e-06,1.59041015625e-09,1.0,4.6052e-07,4.497265625e-10,3.5363936419699473,8.2e-05,8.0078125e-08,0.019860731707317072,8.31822e-05,8.12326171875e-08,0.01957846750867373
6,11,2048,3.15258e-06,1.539345703125e-09,1.0,8.2432e-07,4.025e-10,3.824461374223602,8.27352e-05,4.0398046875e-08,0.03810445856177298,8.76521e-05,4.2798876953125e-08,0.03596696485309536
7,12,4096,6.25058e-06,1.5260205078125e-09,1.0,2.33608e-06,5.7033203125e-10,2.6756703537550086,8.48422e-05,2.0713427734375e-08,0.07367300706488045,8.3359e-05,2.0351318359375e-08,0.07498386496958936
8,13,8192,1.24629e-05,1.52135009765625e-09,1.0,8.18528e-06,9.991796875e-10,1.5225991047343526,0.000129283,1.57816162109375e-08,0.09640014541741761,8.51793e-05,1.039786376953125e-08,0.14631371706506158
9,14,16384,2.53782e-05,1.54896240234375e-09,1.0,1.33029e-05,8.11944580078125e-10,1.9077193694607943,0.000135244,8.254638671875e-09,0.18764751116500547,8.13814e-05,4.96712646484375e-09,0.3118427552241667
10,15,32768,5.3173e-05,1.622711181640625e-09,1.0,2.89776e-05,8.84326171875e-10,1.8349690795649054,0.000200212,6.1099853515625e-09,0.2655834815095999,7.85341e-05,2.3966705322265624e-09,0.6770689420264573
11,16,65536,0.000110619,1.6879119873046876e-09,1.0,6.4435e-05,9.832000732421875e-10,1.7167533172965004,0.000210535,3.2125091552734375e-09,0.52541857648372,8.44456e-05,1.28853759765625e-09,1.3099439165569315
12,17,131072,0.00021652,1.65191650390625e-09,1.0,0.000127925,9.759902954101563e-10,1.6925542309947232,0.000233033,1.7779006958007813e-09,0.9291387915016328,9.85522e-05,7.518936157226563e-10,2.1970082859641895
13,18,262144,0.000426219,1.6258964538574218e-09,1.0,0.000255574,9.749374389648438e-10,1.6676931143230531,0.000260595,9.94091033935547e-10,1.63556092787659,0.000108648,4.14459228515625e-10,3.9229346145350124
14,19,524288,0.000805277,1.5359439849853515e-09,1.0,0.00049133,9.371376037597656e-10,1.6389738057924408,0.000318936,6.083221435546875e-10,2.5248858705194768,0.000147273,2.8090095520019533e-10,5.4679201211355775
15,20,1048576,0.00144918,1.3820457458496094e-09,1.0,0.00087209,8.316898345947265e-10,1.6617321606714903,0.000420691,4.012022018432617e-10,3.4447611192062584,0.000215874,2.058734893798828e-10,6.7130826315350625
16,21,2097152,0.0027579,1.3150691986083985e-09,1.0,0.00155531,7.416296005249024e-10,1.773215629038584,0.000469157,2.237114906311035e-10,5.878415967362739,0.000309505,1.475834846496582e-10,8.910679956705062
17,22,4194304,0.0048201,1.1492013931274414e-09,1.0,0.00396566,9.454870223999024e-10,1.2154597217108878,0.00205652,4.903125762939453e-10,2.343813821407037,0.00210675,5.022883415222168e-10,2.287931648273407
18,23,8388608,0.00861757,1.027294397354126e-09,1.0,0.00719936,8.582305908203125e-10,1.1969911214330162,0.00425794,5.075860023498535e-10,2.0238824408047082,0.0051285,6.113648414611817e-10,1.6803295310519644
19,24,16777216,0.0183893,1.0960876941680909e-09,1.0,0.0509228,3.0352354049682616e-09,0.36112114809083556,0.00898614,5.356156826019287e-10,2.0464070223700053,0.0111448,6.642818450927734e-10,1.6500340966190512
20,25,33554432,0.596111,1.776549220085144e-08,1.0,0.0554174,1.6515672206878662e-09,10.756747880629549,0.0274047,8.167237043380737e-10,21.752144705105326,0.0259068,7.720828056335449e-10,23.00982753562771
