n,lane,threads,seq,simd,par,simdpar
5,4,10,6.244e-08,6.684e-08,6.44947e-05,6.52839e-05
6,4,10,7.312e-08,8.452e-08,6.57042e-05,6.49665e-05
7,4,10,1.008e-07,1.2012e-07,6.60362e-05,6.49326e-05
8,4,10,1.6472e-07,1.7962e-07,6.63678e-05,6.55334e-05
9,4,10,2.8468e-07,2.6964e-07,6.66582e-05,6.72552e-05
10,4,10,5.275e-07,4.6084e-07,6.52974e-05,6.71148e-05
11,4,10,1.2835e-06,9.0316e-07,6.7787e-05,6.57485e-05
12,4,10,2.6885e-06,2.67684e-06,6.70484e-05,6.59616e-05
13,4,10,5.34733e-06,1.06981e-05,6.77543e-05,6.45995e-05
14,4,10,1.12697e-05,1.95046e-05,6.66056e-05,6.97446e-05
15,4,10,2.6563e-05,3.51953e-05,6.6132e-05,6.97314e-05
16,4,10,5.25742e-05,6.11184e-05,6.2968e-05,6.73807e-05
17,4,10,0.000127867,0.000140142,7.58046e-05,7.04548e-05
18,4,10,0.000207091,0.000218242,8.04497e-05,7.7587e-05
19,4,10,0.000423639,0.000423144,0.000111678,0.000100188
20,4,10,0.000872199,0.000841453,0.00018248,0.000155111
21,4,10,0.00238686,0.00291229,0.000837159,0.000866366
22,4,10,0.00539234,0.00664926,0.00215807,0.00266039
23,4,10,0.0108106,0.0133509,0.00397019,0.00538214
24,4,10,0.021725,0.0264415,0.00760586,0.0106979
25,4,10,0.0434494,0.0531167,0.0148931,0.021289
