,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,7.248e-08,2.265e-09,1.0,1.1446e-07,3.576875e-09,0.63323431766556,8.0302e-05,2.5094375e-06,0.0009025927125102737,8.1508e-05,2.547125e-06,0.0008892378662217205
1,6,64,7.548e-08,1.179375e-09,1.0,1.0524e-07,1.644375e-09,0.717217787913341,0.000197655,3.088359375e-06,0.00038187751384988997,0.000212067,3.313546875e-06,0.00035592525003890277
2,7,128,1.0444e-07,8.159375e-10,1.0,1.1442e-07,8.9390625e-10,0.9127774864534173,0.000197166,1.540359375e-06,0.000529705933071625,0.000209197,1.6343515625e-06,0.0004992423409513521
3,8,256,1.624e-07,6.34375e-10,1.0,1.581e-07,6.17578125e-10,1.0271979759645795,0.000199193,7.7809765625e-07,0.0008152896939149468,0.000211994,8.281015625e-07,0.0007660594167759465
4,9,512,2.4164e-07,4.71953125e-10,1.0,2.4352e-07,4.75625e-10,0.9922798948751642,0.000195614,3.8205859375e-07,0.0012352899076753198,0.000206825,4.03955078125e-07,0.0011683307143720537
5,10,1024,4.65083e-07,4.541826171875e-10,1.0,3.9236e-07,3.831640625e-10,1.1853476399225202,0.000198904,1.942421875e-07,0.0023382284921369106,0.000246832,2.41046875e-07,0.0018842086925520193
6,11,2048,1.13075e-06,5.521240234375e-10,1.0,7.3832e-07,3.605078125e-10,1.5315174991873441,0.000195138,9.52822265625e-08,0.005794617142740009,0.000246118,1.201748046875e-07,0.004594340925897334
7,12,4096,2.58075e-06,6.3006591796875e-10,1.0,1.58144e-06,3.8609375e-10,1.6318987757992713,0.000201679,4.9238037109375e-08,0.012796324852860239,0.000240238,5.865185546875e-08,0.010742472048551851
8,13,8192,4.68675e-06,5.72113037109375e-10,1.0,3.10164e-06,3.786181640625e-10,1.5110554416373272,0.000199385,2.43389892578125e-08,0.023506031045464802,0.0002424,2.958984375e-08,0.01933477722772277
9,14,16384,9.98683e-06,6.095477294921875e-10,1.0,6.11344e-06,3.73134765625e-10,1.6335860006804679,0.00020353,1.24224853515625e-08,0.049068098069080725,0.000254272,1.551953125e-08,0.039276168827082805
10,15,32768,2.09617e-05,6.397003173828125e-10,1.0,1.31133e-05,4.001861572265625e-10,1.5985068594480412,0.000204284,6.2342529296875e-09,0.10261058134753578,0.000248878,7.59515380859375e-09,0.08422480090646822
11,16,65536,4.57747e-05,6.984664916992188e-10,1.0,3.82233e-05,5.832412719726562e-10,1.1975601269382812,0.000201764,3.07867431640625e-09,0.22687248468507762,0.000250315,3.819503784179687e-09,0.18286838583384937
12,17,131072,0.000108394,8.269805908203125e-10,1.0,0.000115828,8.83697509765625e-10,0.9358186276202646,0.000207471,1.5828781127929688e-09,0.5224537405227718,0.000253425,1.933479309082031e-09,0.42771628686988267
13,18,262144,0.000242387,9.246330261230469e-10,1.0,0.000250608,9.5599365234375e-10,0.9671957798633724,0.000229578,8.757705688476563e-10,1.0557936736098406,0.000254373,9.703559875488282e-10,0.9528802192056546
14,19,524288,0.000620946,1.1843605041503907e-09,1.0,0.000513859,9.801082611083984e-10,1.208397634370518,0.000245046,4.673881530761719e-10,2.5339976983913224,0.000250167,4.771556854248046e-10,2.482125939872166
15,20,1048576,0.0011957,1.1403083801269532e-09,1.0,0.00105063,1.0019588470458985e-09,1.1380790573275081,0.000305653,2.9149341583251955e-10,3.911952442802786,0.000227243,2.1671581268310546e-10,5.261768239285699
16,21,2097152,0.00245613,1.1711740493774414e-09,1.0,0.00214186,1.0213184356689454e-09,1.146727610581457,0.000357356,1.7040061950683595e-10,6.873062156504997,0.000325721,1.5531587600708008e-10,7.5405945579192
17,22,4194304,0.00517081,1.2328171730041503e-09,1.0,0.00489091,1.166083812713623e-09,1.0572286138980271,0.00110768,2.6409149169921875e-10,4.668144229380326,0.00127021,3.028416633605957e-10,4.0708308075042705
18,23,8388608,0.01118,1.3327598571777345e-09,1.0,0.0107578,1.2824296951293945e-09,1.0392459424789455,0.00256552,3.058338165283203e-10,4.357791013127943,0.00346902,4.135394096374512e-10,3.222812206329165
19,24,16777216,0.0232121,1.3835489749908447e-09,1.0,0.0224317,1.3370335102081298e-09,1.0347900515787924,0.00595385,3.548771142959595e-10,3.8986706080939224,0.00905602,5.39780855178833e-10,2.563167925865888
20,25,33554432,0.0464304,1.3837337493896483e-09,1.0,0.049108,1.4635324478149414e-09,0.9454752789769487,0.0102043,3.0411183834075926e-10,4.550081828248875,0.0234588,6.991267204284667e-10,1.9792316742544376
