n,lane,threads,seq,simd,par,simdpar
5,16,20,6.894e-08,1.1494e-07,8.5784e-05,8.76713e-05
6,16,20,6.676e-08,9.806e-08,0.000211817,0.000212397
7,16,20,8.424e-08,1.148e-07,0.000213024,0.000211929
8,16,20,1.3122e-07,1.3806e-07,0.000212665,0.000215635
9,16,20,2.354e-07,1.4932e-07,0.000216689,0.000213782
10,16,20,4.2492e-07,3.5904e-07,0.000214641,0.000213606
11,16,20,7.986e-07,3.8736e-07,0.000218271,0.000232433
12,16,20,1.6264e-06,6.9792e-07,0.000216668,0.000242024
13,16,20,4.1358e-06,1.58472e-06,0.000221643,0.000248923
14,16,20,8.3268e-06,3.13648e-06,0.000218412,0.000252417
15,16,20,1.7172e-05,6.38142e-06,0.000214431,0.000254256
16,16,20,3.4915e-05,1.27091e-05,0.000219089,0.000258566
17,16,20,7.2599e-05,3.7717e-05,0.000222748,0.000272134
18,16,20,0.000160142,0.000121811,0.00028889,0.000366525
19,16,20,0.000321481,0.000250616,0.000278579,0.000331785
20,16,20,0.000763906,0.000581047,0.000190978,0.000244606
21,16,20,0.00143167,0.00108208,0.000253232,0.000268554
22,16,20,0.00302376,0.00196019,0.000434133,0.000375342
23,16,20,0.00615996,0.00446842,0.00100853,0.00113912
