,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.4564e-07,4.55125e-09,1.0,1.625e-07,5.078125e-09,0.8962461538461538,9.211120000000001e-05,2.8784750000000004e-06,0.001581132370439208,8.91035e-05,2.784484375e-06,0.001634503695141044
1,6,64,8.184e-08,1.27875e-09,1.0,1.459e-07,2.2796875e-09,0.5609321453050033,7.850600000000001e-05,1.2266562500000002e-06,0.0010424680916108322,9.00304e-05,1.406725e-06,0.0009090262844550285
2,7,128,2.19e-07,1.7109375e-09,1.0,1.184e-07,9.25e-10,1.849662162162162,7.76875e-05,6.0693359375e-07,0.002818986323411102,8.79327e-05,6.8697421875e-07,0.002490541061516364
3,8,256,2.0336e-07,7.94375e-10,1.0,1.363e-07,5.32421875e-10,1.4920029347028614,7.51017e-05,2.93366015625e-07,0.0027077948967866236,8.43345e-05,3.29431640625e-07,0.002411350040612086
4,9,512,3.2368e-07,6.321875e-10,1.0,1.7461999999999998e-07,3.4105468749999997e-10,1.8536250143168023,7.668229999999999e-05,1.4977011718749998e-07,0.004221052315853855,7.775060000000001e-05,1.5185664062500001e-07,0.004163054690253193
5,10,1024,9.17833e-07,8.963212890625e-10,1.0,3.0024e-07,2.93203125e-10,3.056997735145217,7.55787e-05,7.380732421875e-08,0.012144069691593002,8.659219999999999e-05,8.456269531249999e-08,0.010599488175609352
6,11,2048,1.6519200000000001e-06,8.066015625000001e-10,1.0,5.711999999999999e-07,2.7890624999999996e-10,2.89201680672269,7.62264e-05,3.7219921875e-08,0.02167123201410535,8.667700000000001e-05,4.2322753906250005e-08,0.019058343043714017
7,12,4096,2.47483e-06,6.0420654296875e-10,1.0,8.288799999999999e-07,2.0236328124999997e-10,2.9857518579287716,7.780149999999999e-05,1.8994506835937498e-08,0.03180954094715398,8.73908e-05,2.133564453125e-08,0.02831911368244712
8,13,8192,5.00783e-06,6.11307373046875e-10,1.0,1.9906799999999997e-06,2.4300292968749997e-10,2.515637872485784,7.708239999999999e-05,9.409472656249999e-09,0.06496722987348605,9.26628e-05,1.1311376953125e-08,0.05404358599135791
9,14,16384,1.4803599999999998e-05,9.035400390624999e-10,1.0,4.88344e-06,2.980615234375e-10,3.0313877103025733,7.75571e-05,4.733709716796875e-09,0.19087356283306106,0.00011229600000000001,6.854003906250001e-09,0.1318266011255966
10,15,32768,2.31488e-05,7.064453125e-10,1.0,8.5465e-06,2.608184814453125e-10,2.708570759960218,8.5086e-05,2.59661865234375e-09,0.27206355922243375,0.00010783,3.29071044921875e-09,0.2146786608550496
11,16,65536,4.1118800000000003e-05,6.274230957031251e-10,1.0,1.79559e-05,2.7398529052734373e-10,2.289988248987798,8.07063e-05,1.2314804077148438e-09,0.5094868678157716,0.000102861,1.5695343017578126e-09,0.3997511204440945
12,17,131072,9.67565e-05,7.381935119628906e-10,1.0,4.83661e-05,3.690040588378906e-10,2.0005024180159245,7.60821e-05,5.804603576660156e-10,1.2717380303645667,9.62633e-05,7.344306945800782e-10,1.0051234478768127
13,18,262144,0.000189087,7.213096618652344e-10,1.0,0.000178348,6.803436279296875e-10,1.0602137394307758,9.36394e-05,3.5720596313476564e-10,2.019310247609446,9.54873e-05,3.6425514221191405e-10,1.9802319261304908
14,19,524288,0.000391466,7.466621398925781e-10,1.0,0.000286093,5.456790924072266e-10,1.368317295424914,0.000109382,2.0862960815429688e-10,3.5788886654111276,0.000134292,2.5614166259765624e-10,2.915035891936973
15,20,1048576,0.000817438,7.795696258544922e-10,1.0,0.000648088,6.180648803710938e-10,1.261307106442335,0.000189756,1.8096542358398437e-10,4.3078374333354414,0.000208622,1.9895744323730468e-10,3.9182732405978276
16,21,2097152,0.00158142,7.54079818725586e-10,1.0,0.0013298,6.340980529785156e-10,1.1892164235223344,0.00036354199999999996,1.7335033416748045e-10,4.350033833779866,0.000302195,1.4409780502319336e-10,5.2331110706662916
17,22,4194304,0.00351906,8.390092849731445e-10,1.0,0.00299295,7.135748863220215e-10,1.175783090262116,0.000829062,1.976637840270996e-10,4.244628266643508,0.000887137,2.1150994300842285e-10,3.9667604890789137
18,23,8388608,0.0070818,8.442163467407227e-10,1.0,0.00635762,7.578873634338378e-10,1.1139074056014673,0.00177557,2.1166443824768066e-10,3.988465675811148,0.00209875,2.5019049644470214e-10,3.374294222751638
19,24,16777216,0.0156486,9.327292442321777e-10,1.0,0.0131277,7.824718952178956e-10,1.1920290683059482,0.00358891,2.1391570568084716e-10,4.360265373051985,0.00440975,2.628415822982788e-10,3.54863654402177
20,25,33554432,0.028347900000000006,8.448332548141481e-10,1.0,0.026173900000000003,7.800430059432984e-10,1.0830598420563997,0.00709149,2.1134287118911742e-10,3.997453285557761,0.00898538,2.677851915359497e-10,3.154891612819937
