,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,3.492e-08,1.09125e-09,1.0,4.578e-08,1.430625e-09,0.762778505897772,6.96527e-05,2.176646875e-06,0.0005013445279221049,3.09896e-05,9.68425e-07,0.0011268296460748121
1,6,64,4.592e-08,7.175e-10,1.0,5.284e-08,8.25625e-10,0.8690386071158213,2.52402e-05,3.94378125e-07,0.00181931997369276,2.87945e-05,4.499140625e-07,0.0015947489972043271
2,7,128,8.424e-08,6.58125e-10,1.0,6.914e-08,5.4015625e-10,1.2183974544402663,2.49832e-05,1.9518125e-07,0.0033718658938806877,2.86291e-05,2.2366484375e-07,0.002942460643191718
3,8,256,1.2228e-07,4.7765625e-10,1.0,1.0878e-07,4.24921875e-10,1.124103695532267,2.48882e-05,9.721953125e-08,0.004913171703859661,2.75573e-05,1.07645703125e-07,0.0044372997354602955
4,9,512,2.7324e-07,5.33671875e-10,1.0,1.5544e-07,3.0359375e-10,1.7578486875965003,2.23939e-05,4.37380859375e-08,0.012201537025707893,2.62439e-05,5.12576171875e-08,0.010411562305907276
5,10,1024,4.94e-07,4.82421875e-10,1.0,2.3516e-07,2.296484375e-10,2.1006973975165844,2.52232e-05,2.463203125e-08,0.019585143835833676,3.02017e-05,2.949384765625e-08,0.016356695152921853
6,11,2048,1.30108e-06,6.3529296875e-10,1.0,4.4304e-07,2.16328125e-10,2.936710003611412,2.69693e-05,1.3168603515625e-08,0.048243002228459765,2.81796e-05,1.37595703125e-08,0.04617098894235546
7,12,4096,2.82533e-06,6.8977783203125e-10,1.0,1.42124e-06,3.46982421875e-10,1.9879330725282145,2.30346e-05,5.623681640625e-09,0.12265591761958096,2.78296e-05,6.7943359375e-09,0.10152247966194268
8,13,8192,5.60808e-06,6.84580078125e-10,1.0,2.49708e-06,3.048193359375e-10,2.245855158825508,4.29952e-05,5.2484375e-09,0.13043502530515036,2.76547e-05,3.37581787109375e-09,0.20278939927028677
9,14,16384,9.35158e-06,5.70775146484375e-10,1.0,4.93724e-06,3.0134521484375e-10,1.8940906255316736,3.11904e-05,1.9037109375e-09,0.29982238124551147,2.50247e-05,1.527386474609375e-09,0.3736939903375465
10,15,32768,1.93433e-05,5.903106689453126e-10,1.0,1.02031e-05,3.113739013671875e-10,1.895825778439886,4.59213e-05,1.4014068603515624e-09,0.421227186512577,2.71546e-05,8.28692626953125e-10,0.7123397140815921
11,16,65536,4.33048e-05,6.6077880859375e-10,1.0,2.96507e-05,4.5243377685546876e-10,1.4604984030731145,6.24936e-05,9.5357666015625e-10,0.6929477578504039,3.13901e-05,4.789749145507813e-10,1.379568717525589
12,17,131072,9.46242e-05,7.219253540039062e-10,1.0,0.00010751,8.202362060546875e-10,0.8801432424890707,7.61394e-05,5.808975219726562e-10,1.2427757507939385,4.22923e-05,3.226646423339844e-10,2.2373860017071663
13,18,262144,0.000198832,7.5848388671875e-10,1.0,0.00020238,7.720184326171875e-10,0.9824686233817571,7.46272e-05,2.8468017578125e-10,2.66433686377085,7.72672e-05,2.947509765625e-10,2.5733040669261986
14,19,524288,0.00040223,7.671928405761719e-10,1.0,0.000390477,7.447757720947266e-10,1.0300990839409234,0.000112667,2.1489524841308593e-10,3.570078195034926,0.000146587,2.7959251403808593e-10,2.7439677461166405
15,20,1048576,0.000858479,8.187093734741211e-10,1.0,0.000785957,7.49547004699707e-10,1.092272223544036,0.00016873,1.6091346740722656e-10,5.087885971670716,0.000286127,2.728719711303711e-10,3.0003425052511647
16,21,2097152,0.00211758,1.0097408294677734e-09,1.0,0.00186334,8.885097503662109e-10,1.1364431612051478,0.000255928,1.2203598022460937e-10,8.274123972367228,0.000440511,2.100520133972168e-10,4.807099028174098
17,22,4194304,0.00504304,1.2023544311523438e-09,1.0,0.00481744,1.1485671997070313e-09,1.0468298515394068,0.00113093,2.696347236633301e-10,4.4591972977991565,0.00123908,2.9541969299316407e-10,4.069987410013882
18,23,8388608,0.0107254,1.2785673141479492e-09,1.0,0.0101779,1.2133002281188965e-09,1.053793022136197,0.00273137,3.2560467720031737e-10,3.926747383181334,0.00356326,4.247736930847168e-10,3.00999646391226
19,24,16777216,0.0229117,1.3656437397003174e-09,1.0,0.0209155,1.2466609477996826e-09,1.0954411799861348,0.00584444,3.48355770111084e-10,3.9202558328941692,0.00826259,4.924887418746948e-10,2.7729440768572564
20,25,33554432,0.0440568,1.3129949569702148e-09,1.0,0.0425189,1.2671619653701782e-09,1.03616979743126,0.0111031,3.308981657028198e-10,3.967972908467005,0.0167642,4.996120929718018e-10,2.628028775605159
