,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.344e-07,4.2e-09,1.0,9.24e-08,2.8875e-09,1.4545454545454548,7.68853e-05,2.402665625e-06,0.0017480584715153613,6.50926e-05,2.03414375e-06,0.002064750831891798
1,6,64,1.6376e-07,2.55875e-09,1.0,1.034e-07,1.615625e-09,1.5837524177949711,5.9446e-05,9.2884375e-07,0.0027547690340813513,4.27745e-05,6.683515625e-07,0.003828449192860232
2,7,128,2.7248e-07,2.12875e-09,1.0,1.2584e-07,9.83125e-10,2.1652892561983474,3.71653e-05,2.9035390625e-07,0.007331570039795185,3.6082e-05,2.81890625e-07,0.007551687822182807
3,8,256,4.3368e-07,1.6940625e-09,1.0,1.5732e-07,6.1453125e-10,2.7566742944317313,3.41244e-05,1.332984375e-07,0.012708794879909975,3.41473e-05,1.33387890625e-07,0.012700272056648696
4,9,512,8.4904e-07,1.65828125e-09,1.0,2.5298e-07,4.941015625e-10,3.3561546367301767,3.7598e-05,7.343359375e-08,0.022582052236821106,3.41338e-05,6.6667578125e-08,0.024873878677439957
5,10,1024,1.62958e-06,1.59138671875e-09,1.0,4.4432e-07,4.3390625e-10,3.667581922938423,3.74176e-05,3.6540625e-08,0.04355116308902762,3.73799e-05,3.650380859375e-08,0.043595087199270195
6,11,2048,3.1645e-06,1.545166015625e-09,1.0,7.4788e-07,3.6517578125e-10,4.231293790447665,3.40874e-05,1.664423828125e-08,0.09283488913792193,3.49908e-05,1.70853515625e-08,0.09043805800381816
7,12,4096,6.25725e-06,1.52764892578125e-09,1.0,2.27068e-06,5.54365234375e-10,2.755672309616503,3.16908e-05,7.73701171875e-09,0.19744689310462343,3.33188e-05,8.13447265625e-09,0.18779938052991108
8,13,8192,1.18987e-05,1.45247802734375e-09,1.0,7.07308e-06,8.634130859375e-10,1.6822515792271542,4.29909e-05,5.24791259765625e-09,0.27677252627881715,3.64364e-05,4.447802734375e-09,0.3265608018355271
9,14,16384,2.48101e-05,1.514288330078125e-09,1.0,1.30753e-05,7.98052978515625e-10,1.8974784517372452,5.02728e-05,3.068408203125e-09,0.49350941264461107,4.05392e-05,2.47431640625e-09,0.6120027035560643
10,15,32768,5.3513e-05,1.633087158203125e-09,1.0,2.93651e-05,8.961517333984375e-10,1.8223333140360496,8.3043e-05,2.534271240234375e-09,0.6444010934094385,5.45235e-05,1.6639251708984375e-09,0.9814667070162407
11,16,65536,0.000109311,1.6679534912109375e-09,1.0,6.25951e-05,9.551254272460937e-10,1.7463188013119237,9.33423e-05,1.4242904663085937e-09,1.1710767786951897,7.84584e-05,1.19718017578125e-09,1.3932351411703527
12,17,131072,0.000232731,1.7755966186523437e-09,1.0,0.000127793,9.749832153320312e-10,1.8211560883616476,0.000570427,4.3520126342773436e-09,0.40799436211820267,0.00104579,7.978744506835938e-09,0.2225408542824085
13,18,262144,0.00460482,1.7565994262695312e-08,1.0,0.000892469,3.404499053955078e-09,5.159641399309107,0.00020958,7.994842529296875e-10,21.971657600916117,0.000161902,6.176071166992188e-10,28.44202048152586
14,19,524288,0.000848255,1.6179180145263672e-09,1.0,0.000514144,9.8065185546875e-10,1.6498393446194062,0.00198191,3.780193328857422e-09,0.42799874868182713,0.000377484,7.199935913085937e-10,2.247128355109091
15,20,1048576,0.00200943,1.916341781616211e-09,1.0,0.00107173,1.0220813751220702e-09,1.8749405167346256,0.000505959,4.825201034545899e-10,3.971527337195306,0.000393238,3.7502098083496096e-10,5.10995885443421
16,21,2097152,0.00341727,1.629481315612793e-09,1.0,0.00198021,9.442377090454102e-10,1.7257109094489977,0.000828532,3.9507484436035156e-10,4.124487648032907,0.000649891,3.098921775817871e-10,5.258220224622283
17,22,4194304,0.00626079,1.4926886558532714e-09,1.0,0.00454516,1.0836505889892579e-09,1.3774630596062623,0.00216111,5.152487754821777e-10,2.8970251398586835,0.00219042,5.222368240356446e-10,2.8582600597145746
18,23,8388608,0.0110026,1.3116121292114257e-09,1.0,0.0236567,2.8200984001159667e-09,0.4650944552705999,0.00598154,7.1305513381958e-10,1.8394259672258315,0.00601965,7.175981998443603e-10,1.827780684923542
19,24,16777216,0.0225482,1.343977451324463e-09,1.0,0.0178138,1.0617852210998536e-09,1.2657714805375608,0.012443,7.416605949401855e-10,1.812119263843125,0.0121676,7.25245475769043e-10,1.8531345540616062
20,25,33554432,0.0389753,1.161554455757141e-09,1.0,0.12977,3.867447376251221e-09,0.3003413731987362,0.0265846,7.922828197479248e-10,1.4660856285217756,0.0214077,6.37999176979065e-10,1.820620617815085
