,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,6.318e-08,1.974375e-09,1.0,1.1617e-07,3.6303125e-09,0.5438581389343204,7.20444e-05,2.2513875e-06,0.0008769592084880989,7.15183e-05,2.234946875e-06,0.0008834102600313487
1,6,64,1.5179e-07,2.37171875e-09,1.0,9.379e-08,1.46546875e-09,1.6184028147990193,0.000162616,2.540875e-06,0.0009334259851429134,0.000169357,2.646203125e-06,0.0008962723713811653
2,7,128,1.2385e-07,9.67578125e-10,1.0,1.0576e-07,8.2625e-10,1.1710476550680786,8.57151e-05,6.6964921875e-07,0.0014449029400887357,8.79111e-05,6.8680546875e-07,0.0014088095814976719
3,8,256,1.3928e-07,5.440625e-10,1.0,1.3051e-07,5.098046875e-10,1.0671979158685159,8.72438e-05,3.4079609375e-07,0.001596445821938063,8.72429e-05,3.40792578125e-07,0.0015964622909142175
4,9,512,2.3567e-07,4.6029296875e-10,1.0,2.3194e-07,4.530078125e-10,1.0160817452789515,8.50234e-05,1.66061328125e-07,0.002771825168130185,0.000106648,2.08296875e-07,0.0022097929637686594
5,10,1024,4.3158e-07,4.2146484375e-10,1.0,3.9176e-07,3.82578125e-10,1.101643863589953,8.14512e-05,7.95421875e-08,0.00529863280099004,0.000102886,1.00474609375e-07,0.004194739809109111
6,11,2048,9.235e-07,4.50927734375e-10,1.0,6.718e-07,3.2802734375e-10,1.3746650788925276,8.03675e-05,3.9241943359375e-08,0.011490963386941238,0.000100145,4.889892578125e-08,0.009221628638474214
7,12,4096,2.36732e-06,5.77958984375e-10,1.0,1.62778e-06,3.974072265625e-10,1.4543242944378232,8.04234e-05,1.9634619140625e-08,0.02943571149690264,0.000105338,2.571728515625e-08,0.02247356129791718
8,13,8192,4.77442e-06,5.8281494140625e-10,1.0,3.12262e-06,3.8117919921875e-10,1.5289788703076264,7.95299e-05,9.70823974609375e-09,0.06003301902806366,0.000101636,1.240673828125e-08,0.04697567790940218
9,14,16384,1.03592e-05,6.32275390625e-10,1.0,6.42994e-06,3.92452392578125e-10,1.6110881283495648,7.95509e-05,4.855401611328125e-09,0.13022102829760568,0.000103485,6.31622314453125e-09,0.10010339662753057
10,15,32768,2.25638e-05,6.88592529296875e-10,1.0,1.41186e-05,4.30865478515625e-10,1.5981612907795388,7.92948e-05,2.41988525390625e-09,0.2845558599050631,0.000102664,3.133056640625e-09,0.2197829813761396
