,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.1037e-07,3.4490625e-09,1.0,1.0526e-07,3.289375e-09,1.0485464563936917,0.000167521,5.23503125e-06,0.0006588427719509792,0.000170041,5.31378125e-06,0.0006490787515952035
1,6,64,1.0154e-07,1.5865625e-09,1.0,1.0841e-07,1.69390625e-09,0.9366294622267318,0.000124968,1.952625e-06,0.0008125280071698356,0.000139601,2.181265625e-06,0.00072735868654236
2,7,128,1.5706e-07,1.22703125e-09,1.0,1.3338e-07,1.04203125e-09,1.1775378617483883,7.77843e-05,6.0768984375e-07,0.0020191735350192776,0.000112254,8.76984375e-07,0.0013991483599693553
3,8,256,2.0686e-07,8.08046875e-10,1.0,1.5547e-07,6.073046875e-10,1.3305460860616196,6.79214e-05,2.6531796875e-07,0.003045579154728848,6.28737e-05,2.45600390625e-07,0.003290087906390112
4,9,512,3.1823e-07,6.2154296875e-10,1.0,2.2886e-07,4.469921875e-10,1.3905007428121996,2.35299e-05,4.59568359375e-08,0.01352449436674189,4.86264e-05,9.49734375e-08,0.006544387410953721
5,10,1024,5.2134e-07,5.0912109375e-10,1.0,4.1504e-07,4.053125e-10,1.256119892058597,4.28452e-05,4.1841015625e-08,0.012167990813440013,2.95218e-05,2.88298828125e-08,0.017659492307379634
6,11,2048,9.7716e-07,4.7712890625e-10,1.0,5.1826e-07,2.53056640625e-10,1.8854628950719716,3.31306e-05,1.617705078125e-08,0.029494183624806075,3.08601e-05,1.5068408203125e-08,0.03166418773756404
7,12,4096,1.96864e-06,4.80625e-10,1.0,1.33138e-06,3.250439453125e-10,1.4786462167074765,2.09973e-05,5.1262939453125e-09,0.09375681635257867,3.7321e-05,9.111572265625e-09,0.052748854532300854
8,13,8192,4.64664e-06,5.67216796875e-10,1.0,3.15616e-06,3.852734375e-10,1.4722447531177125,2.20339e-05,2.68968505859375e-09,0.21088595300877286,6.27867e-05,7.66439208984375e-09,0.07400675620792302
9,14,16384,9.79372e-06,5.9776123046875e-10,1.0,8.32648e-06,5.082080078125e-10,1.1762137181618164,3.95729e-05,2.415338134765625e-09,0.24748552671146162,7.25668e-05,4.4291259765625e-09,0.13496144242270572
10,15,32768,2.07897e-05,6.344512939453125e-10,1.0,2.60961e-05,7.963897705078125e-10,0.7966592709255406,8.35308e-05,2.54915771484375e-09,0.24888663822206897,7.94501e-05,2.4246246337890625e-09,0.26166990349917746
11,16,65536,0.000182542,2.785369873046875e-09,1.0,0.000175473,2.6775054931640624e-09,1.0402854000330535,7.32074e-05,1.1170562744140626e-09,2.493491095162511,0.000153302,2.339202880859375e-09,1.1907346283805822
12,17,131072,0.000222375,1.6965866088867187e-09,1.0,0.000108657,8.289871215820313e-10,2.0465777630525412,0.00016266,1.240997314453125e-09,1.367115455551457,0.00019666,1.500396728515625e-09,1.1307586697854164
13,18,262144,0.00021275,8.115768432617187e-10,1.0,0.000247055,9.424400329589843e-10,0.8611442796138512,0.000213529,8.145484924316407e-10,0.9963517835984808,0.00022439,8.559799194335938e-10,0.9481260305717722
14,19,524288,0.0011888,2.2674560546875e-09,1.0,0.000649698,1.2392005920410156e-09,1.8297732177103825,0.000217733,4.152927398681641e-10,5.45989813211594,0.000371989,7.09512710571289e-10,3.1957934239990973
15,20,1048576,0.000921237,8.785600662231445e-10,1.0,0.00105804,1.0090255737304686e-09,0.8707014857661337,0.000596353,5.687265396118164e-10,1.544784716434729,0.000589366,5.62063217163086e-10,1.5630983124238589
16,21,2097152,0.00271291,1.2936162948608397e-09,1.0,0.0030251,1.4424800872802735e-09,0.8968001057816269,0.00106755,5.090475082397461e-10,2.541248653458854,0.000874994,4.1722965240478517e-10,3.100489831930276
17,22,4194304,0.00437805,1.0438084602355956e-09,1.0,0.00551587,1.3150858879089355e-09,0.7937188512419617,0.00215523,5.138468742370606e-10,2.031360922036163,0.00172811,4.1201353073120116e-10,2.5334324782565925
18,23,8388608,0.00907922,1.0823273658752442e-09,1.0,0.0115935,1.3820528984069824e-09,0.7831302022685126,0.00356448,4.2491912841796876e-10,2.547137310351019,0.00416295,4.962623119354248e-10,2.180958214727537
