,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,7.7e-08,2.40625e-09,1.0,5.776e-08,1.805e-09,1.3331024930747921,6.31799e-05,1.974371875e-06,0.0012187420366287381,6.27621e-05,1.961315625e-06,0.0012268550606177933
1,6,64,8.696e-08,1.35875e-09,1.0,6.742e-08,1.0534375e-09,1.289824977751409,6.23033e-05,9.734890625e-07,0.0013957527129381591,6.31298e-05,9.86403125e-07,0.001377479415426629
2,7,128,1.0832e-07,8.4625e-10,1.0,7.23e-08,5.6484375e-10,1.4982019363762102,6.31656e-05,4.9348125e-07,0.0017148574540572718,6.31474e-05,4.933390625e-07,0.0017153517009409732
3,8,256,1.8404e-07,7.1890625e-10,1.0,1.2328e-07,4.815625e-10,1.4928617780661908,6.33797e-05,2.47576953125e-07,0.002903768872367651,6.39006e-05,2.4961171875e-07,0.0028800981524430133
4,9,512,3.6092e-07,7.04921875e-10,1.0,2.7598e-07,5.390234375e-10,1.3077759257917239,6.42781e-05,1.255431640625e-07,0.0056149761738445905,6.35306e-05,1.24083203125e-07,0.005681041891623878
5,10,1024,7.02583e-07,6.861162109375e-10,1.0,6.106e-07,5.962890625e-10,1.1506436292171633,6.33395e-05,6.185498046875e-08,0.011092335746256284,6.2284e-05,6.082421875e-08,0.011280312760901676
6,11,2048,1.4565e-06,7.11181640625e-10,1.0,1.37732e-06,6.7251953125e-10,1.0574884558417796,6.35371e-05,3.1023974609375e-08,0.022923614706997955,6.49145e-05,3.1696533203125e-08,0.022437205863096842
7,12,4096,3.016e-06,7.36328125e-10,1.0,2.90056e-06,7.0814453125e-10,1.0397992111868053,6.48757e-05,1.58387939453125e-08,0.04648890108314824,6.36359e-05,1.55361083984375e-08,0.04739463101802598
8,13,8192,6.37683e-06,7.78421630859375e-10,1.0,6.52688e-06,7.9673828125e-10,0.9770104552251613,6.48335e-05,7.91424560546875e-09,0.09835702221845188,6.37214e-05,7.7784912109375e-09,0.10007360164717034
9,14,16384,1.15097e-05,7.02496337890625e-10,1.0,1.14525e-05,6.99005126953125e-10,1.0049945426762716,6.35474e-05,3.87862548828125e-09,0.1811199199337817,6.65292e-05,4.0606201171875e-09,0.17300223059949615
10,15,32768,2.11943e-05,6.467987060546875e-10,1.0,2.01519e-05,6.149871826171875e-10,1.0517271324292004,6.78133e-05,2.0694976806640626e-09,0.31253898571519156,6.52685e-05,1.9918365478515623e-09,0.3247247906723765
11,16,65536,4.04948e-05,6.17901611328125e-10,1.0,3.77947e-05,5.767013549804687e-10,1.07144123382379,6.63834e-05,1.0129302978515626e-09,0.61001394927045,6.60027e-05,1.0071212768554688e-09,0.6135324767017106
12,17,131072,7.91928e-05,6.04193115234375e-10,1.0,7.46899e-05,5.698387145996094e-10,1.0602879371909724,6.15502e-05,4.695907592773438e-10,1.2866375738827818,6.24207e-05,4.762321472167969e-10,1.2686945196064767
13,18,262144,0.000156262,5.960922241210938e-10,1.0,0.000147711,5.634727478027344e-10,1.05789006912146,5.60257e-05,2.1372108459472657e-10,2.7891128535654173,5.53894e-05,2.1129379272460938e-10,2.821153505905462
14,19,524288,0.00033016,6.29730224609375e-10,1.0,0.000314552,5.999603271484375e-10,1.0496197766982884,6.44523e-05,1.229330062866211e-10,5.122547992856733,6.15916e-05,1.1747665405273438e-10,5.360471233090227
15,20,1048576,0.000617635,5.890226364135742e-10,1.0,0.000605819,5.777540206909179e-10,1.019504175339499,0.000111769,1.0659122467041015e-10,5.525995580169814,0.000115193,1.0985660552978516e-10,5.361740730773571
16,21,2097152,0.00138295,6.594419479370117e-10,1.0,0.00133984,6.38885498046875e-10,1.0321754836398376,0.000274361,1.3082551956176757e-10,5.040621662699873,0.000254886,1.2153911590576172e-10,5.425758966753764
17,22,4194304,0.00344205,8.206486701965332e-10,1.0,0.00343404,8.187389373779297e-10,1.0023325296152636,0.0010026,2.3903846740722656e-10,3.4331238779174145,0.00121978,2.908182144165039e-10,2.8218613192542916
18,23,8388608,0.00749959,8.940207958221436e-10,1.0,0.00747679,8.913028240203857e-10,1.0030494369910083,0.00264275,3.1504034996032716e-10,2.837797748557374,0.00335421,3.9985299110412596e-10,2.2358737228736425
19,24,16777216,0.0148702,8.863329887390137e-10,1.0,0.0150027,8.94230604171753e-10,0.9911682563805181,0.00540532,3.2218217849731445e-10,2.7510304662813674,0.00942506,5.617773532867432e-10,1.5777300091458302
20,25,33554432,0.029845,8.894503116607666e-10,1.0,0.0300648,8.96000862121582e-10,0.9926891248237142,0.0155135,4.623383283615112e-10,1.9238082960002578,0.0164815,4.911869764328003e-10,1.8108181900919214
