n,lane,threads,seq,simd,par,simdpar
5,8,40,1.8084e-07,2.08e-07,5.57844e-05,5.55389e-05
6,8,40,2.3608e-07,2.014e-07,0.000148415,0.000149603
7,8,40,5.0884e-07,2.1162e-07,0.0003782,0.000374472
8,8,40,8.784e-07,3.3626e-07,0.000379509,0.00037578
9,8,40,1.52764e-06,5.0122e-07,0.000373726,0.000380296
10,8,40,1.16333e-06,6.42e-07,0.000374156,0.000378027
11,8,40,2.17625e-06,1.18604e-06,0.000375827,0.000372361
12,8,40,3.49858e-06,1.98448e-06,0.00037767,0.000378082
13,8,40,6.82517e-06,3.69096e-06,0.00037855,0.00037097
14,8,40,1.48752e-05,6.508e-06,0.000369077,0.000365218
15,8,40,2.78183e-05,1.12139e-05,0.000379413,0.000381293
16,8,40,5.2358e-05,2.01711e-05,0.000393198,0.000377089
17,8,40,9.44937e-05,3.87997e-05,0.000391816,0.000401793
18,8,40,0.000196754,8.79366e-05,0.00039997,0.000398823
19,8,40,0.000370026,0.000173536,0.000401475,0.000406358
20,8,40,0.000594937,0.000323477,0.000391581,0.000387333
21,8,40,0.00144181,0.000661424,0.000403446,0.000417892
22,8,40,0.00245264,0.00137618,0.00063791,0.000841551
23,8,40,0.005803,0.00270404,0.00156054,0.00165099
