,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.8084e-07,5.65125e-09,1.0,2.08e-07,6.5e-09,0.8694230769230769,5.57844e-05,1.7432625e-06,0.0032417665153698884,5.55389e-05,1.735590625e-06,0.0032560961776340546
1,6,64,2.3608e-07,3.68875e-09,1.0,2.014e-07,3.146875e-09,1.1721946375372394,0.000148415,2.318984375e-06,0.0015906747970218646,0.000149603,2.337546875e-06,0.0015780432210584013
2,7,128,5.0884e-07,3.9753125e-09,1.0,2.1162e-07,1.65328125e-09,2.4044986296191286,0.0003782,2.9546875e-06,0.0013454257006874672,0.000374472,2.9255625e-06,0.001358819885064838
3,8,256,8.784e-07,3.43125e-09,1.0,3.3626e-07,1.313515625e-09,2.61226431927675,0.000379509,1.48245703125e-06,0.002314569614949843,0.00037578,1.467890625e-06,0.002337537921124062
4,9,512,1.52764e-06,2.983671875e-09,1.0,5.0122e-07,9.789453125e-10,3.0478432624396476,0.000373726,7.2993359375e-07,0.004087593584604764,0.000380296,7.42765625e-07,0.004016976250078886
5,10,1024,1.16333e-06,1.136064453125e-09,1.0,6.42e-07,6.26953125e-10,1.8120404984423677,0.000374156,3.6538671875e-07,0.003109211131185922,0.000378027,3.691669921875e-07,0.003077372780251146
6,11,2048,2.17625e-06,1.0626220703125e-09,1.0,1.18604e-06,5.7912109375e-10,1.8348875248726857,0.000375827,1.8350927734375e-07,0.005790563211264758,0.000372361,1.8181689453125e-07,0.005844462765971732
7,12,4096,3.49858e-06,8.541455078125e-10,1.0,1.98448e-06,4.844921875e-10,1.7629706522615496,0.00037767,9.220458984375e-08,0.00926358990653216,0.000378082,9.230517578125e-08,0.009253495273512095
8,13,8192,6.82517e-06,8.33150634765625e-10,1.0,3.69096e-06,4.50556640625e-10,1.849158484513514,0.00037855,4.6209716796875e-08,0.0180297714964998,0.00037097,4.5284423828125e-08,0.01839817235895086
9,14,16384,1.48752e-05,9.0791015625e-10,1.0,6.508e-06,3.97216796875e-10,2.2856791641057157,0.000369077,2.252667236328125e-08,0.040303784847064435,0.000365218,2.22911376953125e-08,0.040729646402970276
10,15,32768,2.78183e-05,8.489471435546875e-10,1.0,1.12139e-05,3.422210693359375e-10,2.4806980622263444,0.000379413,1.1578765869140625e-08,0.0733193116735589,0.000381293,1.1636138916015625e-08,0.07295780410340605
11,16,65536,5.2358e-05,7.98919677734375e-10,1.0,2.01711e-05,3.0778656005859376e-10,2.5956938392055964,0.000393198,5.999725341796875e-09,0.1331593751748483,0.000377089,5.753921508789062e-09,0.13884785819793205
12,17,131072,9.44937e-05,7.209297180175781e-10,1.0,3.87997e-05,2.9601821899414063e-10,2.435423469769096,0.000391816,2.98931884765625e-09,0.2411685587112318,0.000401793,3.0654373168945313e-09,0.23518005540166204
13,18,262144,0.000196754,7.505569458007812e-10,1.0,8.79366e-05,3.3545150756835935e-10,2.237452892197333,0.00039997,1.5257644653320312e-09,0.49192189414206067,0.000398823,1.5213890075683595e-09,0.49333664307224
14,19,524288,0.000370026,7.057685852050782e-10,1.0,0.000173536,3.3099365234375e-10,2.1322722662732807,0.000401475,7.657527923583984e-10,0.9216663553147768,0.000406358,7.750663757324219e-10,0.9105911536133164
15,20,1048576,0.000594937,5.673761367797852e-10,1.0,0.000323477,3.0849170684814455e-10,1.8391941312674471,0.000391581,3.734407424926758e-10,1.5193203960355586,0.000387333,3.6938953399658204e-10,1.5359832495552923
16,21,2097152,0.00144181,6.875085830688476e-10,1.0,0.000661424,3.1539154052734374e-10,2.1798573985824525,0.000403446,1.9237804412841797e-10,3.5737372535605756,0.000417892,1.9926643371582031e-10,3.4501976587252208
17,22,4194304,0.00245264,5.847549438476562e-10,1.0,0.00137618,3.281068801879883e-10,1.7822087226961587,0.00063791,1.5208959579467773e-10,3.84480569359314,0.000841551,2.00641393661499e-10,2.9144282402373713
18,23,8388608,0.005803,6.917715072631836e-10,1.0,0.00270404,3.2234668731689453e-10,2.1460481353826126,0.00156054,1.8603086471557617e-10,3.718584592512848,0.00165099,1.9681334495544433e-10,3.514860780501396
