,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,2.184e-07,6.825e-09,1.0,2.0404e-07,6.37625e-09,1.0703783571848657,5.79697e-05,1.811553125e-06,0.003767485427732074,5.67748e-05,1.7742125e-06,0.003846777091244707
1,6,64,2.456e-07,3.8375e-09,1.0,1.99e-07,3.109375e-09,1.2341708542713568,0.000149793,2.340515625e-06,0.0016395959757799093,0.00015064,2.35375e-06,0.0016303770578863512
2,7,128,3.7564e-07,2.9346875e-09,1.0,2.184e-07,1.70625e-09,1.71996336996337,0.000391386,3.057703125e-06,0.0009597686171707726,0.000384455,3.0035546875e-06,0.0009770714387899754
3,8,256,6.944e-07,2.7125e-09,1.0,2.998e-07,1.17109375e-09,2.316210807204803,0.000386372,1.509265625e-06,0.0017972316834553228,0.00039122,1.528203125e-06,0.0017749603803486529
4,9,512,1.06564e-06,2.081328125e-09,1.0,5.1986e-07,1.0153515625e-09,2.049859577578579,0.000383516,7.490546875e-07,0.0027786063684435594,0.0003828,7.4765625e-07,0.00278380355276907
5,10,1024,1.52258e-06,1.48689453125e-09,1.0,7.3448e-07,7.17265625e-10,2.0730040300620844,0.000389872,3.80734375e-07,0.003905333032379858,0.000384969,3.759462890625e-07,0.003955071707072518
6,11,2048,2.19333e-06,1.0709619140625e-09,1.0,1.11248e-06,5.43203125e-10,1.9715680281892707,0.000381976,1.8651171875e-07,0.005742062328523257,0.000381645,1.8635009765625e-07,0.005747042408521007
7,12,4096,3.72708e-06,9.09931640625e-10,1.0,1.9366e-06,4.72802734375e-10,1.9245481772178046,0.000384983,9.3989990234375e-08,0.009681154752287764,0.000387114,9.451025390625e-08,0.009627861560160574
8,13,8192,7.28608e-06,8.894140625e-10,1.0,3.70424e-06,4.52177734375e-10,1.9669567846575815,0.000377625,4.60968017578125e-08,0.01929448526977822,0.000380376,4.64326171875e-08,0.01915494142637811
9,14,16384,1.53977e-05,9.39801025390625e-10,1.0,6.6536e-06,4.06103515625e-10,2.314190813995431,0.000379377,2.315533447265625e-08,0.04058680415523345,0.000378317,2.309063720703125e-08,0.04070052363494107
10,15,32768,2.73812e-05,8.3560791015625e-10,1.0,9.86858e-06,3.011651611328125e-10,2.7745835773738476,0.000369763,1.1284271240234375e-08,0.07405067570308549,0.000380697,1.1617950439453125e-08,0.07192386596164405
11,16,65536,5.755e-05,8.78143310546875e-10,1.0,2.03694e-05,3.108123779296875e-10,2.8253164059815217,0.000389548,5.94403076171875e-09,0.14773532401655254,0.00039165,5.976104736328125e-09,0.14694242308183328
12,17,131072,0.000108508,8.27850341796875e-10,1.0,4.02325e-05,3.069496154785156e-10,2.6970235506120677,0.000394443,3.009361267089844e-09,0.2750917116034509,0.000399207,3.0457077026367188e-09,0.2718088610670655
13,18,262144,0.000158749,6.055793762207031e-10,1.0,8.89485e-05,3.393115997314453e-10,1.784729365869014,0.00041148,1.569671630859375e-09,0.38580003888402836,0.000409415,1.5617942810058594e-09,0.3877459301686553
14,19,524288,0.000369048,7.039031982421875e-10,1.0,0.000175869,3.3544349670410155e-10,2.0984255326407726,0.000403662,7.699241638183594e-10,0.9142500408757823,0.000410497,7.829608917236328e-10,0.8990272766914253
15,20,1048576,0.000567546,5.412540435791016e-10,1.0,0.00035892,3.4229278564453124e-10,1.5812604480106989,0.000388979,3.7095928192138674e-10,1.4590659135840238,0.000405595,3.86805534362793e-10,1.3992923975887277
16,21,2097152,0.00131686,6.279277801513672e-10,1.0,0.000681859,3.2513570785522463e-10,1.931279047427694,0.000404499,1.9288015365600586e-10,3.25553338821604,0.000440287,2.099452018737793e-10,2.990912745550062
17,22,4194304,0.00205543,4.900527000427246e-10,1.0,0.00144487,3.444838523864746e-10,1.422570888730474,0.0006993,1.6672611236572266e-10,2.9392678392678393,0.000751905,1.7926812171936035e-10,2.7336299133534157
18,23,8388608,0.00416496,4.965019226074218e-10,1.0,0.00277938,3.313279151916504e-10,1.4985212529413032,0.00152216,1.814556121826172e-10,2.736216954853629,0.00170488,2.0323753356933594e-10,2.442963727652386
