,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,1.11e-07,3.46875e-09,1.0,1.3654e-07,4.266875e-09,0.8129485864948001,7.91928e-05,2.474775e-06,0.001401642573567294,7.97499e-05,2.492184375e-06,0.001391851275048621
1,6,64,9.804e-08,1.531875e-09,1.0,1.1556e-07,1.805625e-09,0.8483904465212876,0.00019756,3.086875e-06,0.0004962543024903827,0.000196019,3.062796875e-06,0.0005001555971614997
2,7,128,1.25e-07,9.765625e-10,1.0,1.2544e-07,9.8e-10,0.9964923469387755,0.000196219,1.5329609375e-06,0.0006370433036556092,0.000208524,1.62909375e-06,0.0005994513820951065
3,8,256,2.2188e-07,8.6671875e-10,1.0,1.3428e-07,5.2453125e-10,1.6523681858802501,0.000199576,7.7959375e-07,0.0011117569246803223,0.000209966,8.201796875e-07,0.0010567425202175592
4,9,512,3.6456e-07,7.1203125e-10,1.0,2.7376e-07,5.346875e-10,1.3316773816481589,0.000188623,3.68404296875e-07,0.0019327441510314223,0.00020351,3.9748046875e-07,0.0017913616038523904
5,10,1024,6.52417e-07,6.371259765625e-10,1.0,5.8032e-07,5.6671875e-10,1.1242366280672733,0.000202941,1.981845703125e-07,0.003214811201285103,0.000206799,2.019521484375e-07,0.0031548363386670153
6,11,2048,1.27442e-06,6.22275390625e-10,1.0,1.66004e-06,8.1056640625e-10,0.7677043926652369,0.000202568,9.891015625e-08,0.0062913194581572605,0.000211163,1.0310693359375e-07,0.006035242916609443
7,12,4096,2.74317e-06,6.6971923828125e-10,1.0,3.4954e-06,8.53369140625e-10,0.7847943010814212,0.000204539,4.9936279296875e-08,0.01341147653992637,0.000207798,5.073193359375e-08,0.013201137643288192
8,13,8192,6.06308e-06,7.401220703125e-10,1.0,7.64668e-06,9.334326171875e-10,0.7929035869161519,0.000192712,2.35244140625e-08,0.03146187056332766,0.000202467,2.47152099609375e-08,0.029946015893948148
9,14,16384,1.29482e-05,7.9029541015625e-10,1.0,1.52123e-05,9.28485107421875e-10,0.8511664902743176,0.000203852,1.2442138671875e-08,0.06351765005984734,0.000211764,1.2925048828125e-08,0.061144481592716425
10,15,32768,2.68348e-05,8.1893310546875e-10,1.0,2.9262e-05,8.9300537109375e-10,0.9170528330257672,0.000210756,6.4317626953125e-09,0.12732638691187914,0.000214747,6.553558349609375e-09,0.12496006929083991
11,16,65536,5.02995e-05,7.675094604492188e-10,1.0,5.53151e-05,8.440414428710938e-10,0.909326748030827,0.000216927,3.3100433349609376e-09,0.2318729342128919,0.000223145,3.4049224853515626e-09,0.22541172780030921
12,17,131072,8.72592e-05,6.6573486328125e-10,1.0,9.77621e-05,7.458656311035156e-10,0.8925667513279686,0.000223948,1.708587646484375e-09,0.38964045224784327,0.000224334,1.7115325927734375e-09,0.38897001791970903
13,18,262144,0.000160755,6.132316589355469e-10,1.0,0.000179172,6.834869384765625e-10,0.8972105016408813,0.000229983,8.773155212402344e-10,0.6989864468243304,0.000239983,9.154624938964844e-10,0.6698599484130126
14,19,524288,0.000350318,6.681785583496094e-10,1.0,0.000387714,7.395057678222656e-10,0.9035474602413119,0.000218878,4.1747665405273435e-10,1.6005171830882958,0.000238198,4.543266296386719e-10,1.4707008455150756
15,20,1048576,0.000661362,6.307239532470703e-10,1.0,0.000689017,6.570978164672851e-10,0.9598631093282168,0.00021741,2.073383331298828e-10,3.0420035876914584,0.000235674,2.2475624084472657e-10,2.806257796787087
16,21,2097152,0.00121364,5.787086486816406e-10,1.0,0.00122771,5.854177474975586e-10,0.9885396388397912,0.000195896,9.341049194335938e-11,6.1953281332952175,0.000198308,9.456062316894532e-11,6.1199749884018795
17,22,4194304,0.00242059,5.771136283874511e-10,1.0,0.00243377,5.802559852600098e-10,0.9945845334604337,0.000472936,1.1275672912597657e-10,5.1182189556303594,0.000474792,1.1319923400878906e-10,5.098211427319752
18,23,8388608,0.0055836,6.656169891357422e-10,1.0,0.00554228,6.606912612915039e-10,1.007455415460785,0.00148348,1.7684459686279296e-10,3.7638525628926582,0.00149099,1.7773985862731933e-10,3.7448943319539367
