n,lane,threads,seq,simd,par,simdpar
5,8,40,1.796e-07,2.0904e-07,5.56296e-05,5.63284e-05
6,8,40,2.28e-07,1.8662e-07,0.000151066,0.000149776
7,8,40,3.376e-07,2.046e-07,0.000376663,0.000373332
8,8,40,5.6884e-07,2.584e-07,0.000372912,0.000375856
9,8,40,1.08364e-06,3.88e-07,0.000374444,0.000375973
10,8,40,1.2735e-06,6.9328e-07,0.000377017,0.000368853
11,8,40,2.15017e-06,1.13048e-06,0.000372413,0.000374838
12,8,40,3.71442e-06,2.03252e-06,0.000372375,0.000373583
13,8,40,7.57208e-06,3.65416e-06,0.000375937,0.000372711
14,8,40,1.47525e-05,6.4266e-06,0.000377719,0.000375442
15,8,40,2.75747e-05,1.04754e-05,0.00036795,0.000370204
16,8,40,4.45255e-05,2.08278e-05,0.000387505,0.000386314
17,8,40,8.4566e-05,4.52963e-05,0.000388356,0.0003953
18,8,40,0.00016114,8.86317e-05,0.000390776,0.000401218
19,8,40,0.000410399,0.000188083,0.000413391,0.000402087
20,8,40,0.000569845,0.000349348,0.000388817,0.000396097
21,8,40,0.00109652,0.000716511,0.000400821,0.000419721
22,8,40,0.0028756,0.00148968,0.000717535,0.000786925
23,8,40,0.00408925,0.00275933,0.00146634,0.00168904
