,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,9.072e-08,2.835e-09,1.0,1.271e-07,3.971875e-09,0.7137686860739575,7.75733e-05,2.424165625e-06,0.0011694745485882384,8.01745e-05,2.505453125e-06,0.0011315318461605623
1,6,64,9.404e-08,1.469375e-09,1.0,1.0914e-07,1.7053125e-09,0.8616455928165659,0.000191446,2.99134375e-06,0.0004912090093290014,0.000204149,3.189828125e-06,0.0004606439414349323
2,7,128,1.1784e-07,9.20625e-10,1.0,1.116e-07,8.71875e-10,1.0559139784946237,0.000188872,1.4755625e-06,0.0006239146088356136,0.000204738,1.599515625e-06,0.0005755648682706679
3,8,256,2.348e-07,9.171875e-10,1.0,1.2758e-07,4.98359375e-10,1.8404138579714688,0.000194201,7.5859765625e-07,0.0012090565960010506,0.00020262,7.91484375e-07,0.00115881946500839
4,9,512,4.3632e-07,8.521875e-10,1.0,1.3018e-07,2.542578125e-10,3.3516669227223845,0.000186215,3.63701171875e-07,0.0023430980318449104,0.00020594,4.022265625e-07,0.002118675342332718
5,10,1024,8.27333e-07,8.079423828125e-10,1.0,2.7884e-07,2.723046875e-10,2.967052790130541,0.000209935,2.050146484375e-07,0.003940900754995594,0.00020947,2.04560546875e-07,0.003949649114431661
6,11,2048,1.61625e-06,7.891845703125e-10,1.0,6.3936e-07,3.121875e-10,2.5279185435435436,0.000195631,9.552294921875e-08,0.008261727435835833,0.000205422,1.003037109375e-07,0.007867949878786109
7,12,4096,3.2115e-06,7.840576171875e-10,1.0,1.76732e-06,4.31474609375e-10,1.8171581830115657,0.000204235,4.9862060546875e-08,0.0157245330134404,0.000204785,4.9996337890625e-08,0.015682300949776594
8,13,8192,6.38367e-06,7.79256591796875e-10,1.0,3.69176e-06,4.50654296875e-10,1.7291671181225214,0.00020872,2.5478515625e-08,0.030584850517439633,0.00021337,2.6046142578125e-08,0.02991831091531143
9,14,16384,1.30056e-05,7.93798828125e-10,1.0,7.0034e-06,4.2745361328125e-10,1.8570408658651512,0.000212514,1.29708251953125e-08,0.061198791609023404,0.000218046,1.33084716796875e-08,0.05964612971574805
10,15,32768,2.53737e-05,7.743438720703125e-10,1.0,1.64421e-05,5.017730712890625e-10,1.5432152827193608,0.000215511,6.576873779296875e-09,0.11773737767445747,0.000216196,6.5977783203125e-09,0.11736433606542213
11,16,65536,5.07578e-05,7.745025634765625e-10,1.0,3.1825e-05,4.856109619140625e-10,1.5949033778476038,0.000210148,3.20660400390625e-09,0.2415335858537792,0.000220881,3.3703765869140625e-09,0.22979704003513202
12,17,131072,0.00010185,7.770538330078125e-10,1.0,5.44867e-05,4.157005310058594e-10,1.8692635083424027,0.000212643,1.6223373413085937e-09,0.47897179780194976,0.000222351,1.6964035034179687e-09,0.4580595544881741
13,18,262144,0.000203062,7.746200561523438e-10,1.0,9.6634e-05,3.6862945556640624e-10,2.101351491193576,0.000232863,8.883018493652344e-10,0.872023464440465,0.000229421,8.751716613769531e-10,0.8851064200748842
14,19,524288,0.000407824,7.77862548828125e-10,1.0,0.000177002,3.376045227050781e-10,2.30406436085468,0.000222769,4.248981475830078e-10,1.8307035539056153,0.000230671,4.399700164794922e-10,1.767989907704046
15,20,1048576,0.000787819,7.513227462768555e-10,1.0,0.00040425,3.8552284240722655e-10,1.9488410636982068,0.000215566,2.0557975769042968e-10,3.654653331230343,0.000249001,2.3746585845947265e-10,3.1639190204055407
16,21,2097152,0.00145011,6.914663314819335e-10,1.0,0.000690754,3.293771743774414e-10,2.099314661949116,0.000211866,1.0102558135986328e-10,6.844467729602672,0.000235878,1.1247539520263672e-10,6.1477119527891535
17,22,4194304,0.0028058,6.68954849243164e-10,1.0,0.00123891,2.953791618347168e-10,2.264732708590616,0.000206936,4.933738708496094e-11,13.558781459001816,0.000197497,4.708695411682129e-11,14.206798077945486
18,23,8388608,0.005565,6.633996963500976e-10,1.0,0.00235537,2.807819843292236e-10,2.362686117255463,0.000481548,5.740499496459961e-11,11.55648035086845,0.000468703,5.5873751640319824e-11,11.873190485232652
