,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,2.408e-07,7.525e-09,1.0,2.51e-07,7.84375e-09,0.9593625498007967,6.1329e-05,1.91653125e-06,0.003926364362699539,5.8111e-05,1.81596875e-06,0.004143793773984271
1,6,64,2.54e-07,3.96875e-09,1.0,2.03e-07,3.171875e-09,1.251231527093596,0.000151113,2.361140625e-06,0.0016808613421743993,0.000152384,2.381e-06,0.0016668416631667367
2,7,128,4.0736e-07,3.1825e-09,1.0,2.176e-07,1.7e-09,1.872058823529412,0.000385578,3.012328125e-06,0.0010564918122921952,0.000385953,3.0152578125e-06,0.0010554653027700263
3,8,256,6.6084e-07,2.58140625e-09,1.0,2.946e-07,1.15078125e-09,2.243177189409369,0.000386666,1.5104140625e-06,0.0017090719121929522,0.000383556,1.498265625e-06,0.001722929637393236
4,9,512,1.28004e-06,2.500078125e-09,1.0,4.87e-07,9.51171875e-10,2.6284188911704316,0.00037828,7.38828125e-07,0.0033838426562334783,0.000384294,7.5057421875e-07,0.003330887289419039
5,10,1024,1.51167e-06,1.476240234375e-09,1.0,7.36e-07,7.1875e-10,2.053899456521739,0.000385227,3.761982421875e-07,0.003924101893169482,0.000382816,3.7384375e-07,0.0039488161414360946
6,11,2048,2.54875e-06,1.2445068359375e-09,1.0,1.17604e-06,5.7423828125e-10,2.167230706438556,0.000384742,1.878623046875e-07,0.0066245691918220525,0.00038333,1.871728515625e-07,0.00664897086061618
7,12,4096,4.23775e-06,1.03460693359375e-09,1.0,2.00288e-06,4.88984375e-10,2.115828207381371,0.000398179,9.7211669921875e-08,0.010642826467493262,0.000384461,9.3862548828125e-08,0.011022574461388802
8,13,8192,7.377e-06,9.005126953125e-10,1.0,3.35664e-06,4.0974609375e-10,2.1977334477334476,0.000372268,4.544287109375e-08,0.01981636885254709,0.000381674,4.6591064453125e-08,0.019328012911542312
9,14,16384,1.44698e-05,8.8316650390625e-10,1.0,5.60824e-06,3.422998046875e-10,2.580096429539392,0.000373621,2.280401611328125e-08,0.03872855112533825,0.000373126,2.27738037109375e-08,0.038779929568027956
10,15,32768,2.73417e-05,8.344024658203125e-10,1.0,1.14974e-05,3.50872802734375e-10,2.3780767825769304,0.000371076,1.13243408203125e-08,0.0736822106522653,0.000379142,1.157049560546875e-08,0.07211466943783595
11,16,65536,2.91032e-05,4.4407958984375e-10,1.0,2.13644e-05,3.25994873046875e-10,1.362228754376439,0.000374135,5.7088470458984374e-09,0.07778796423750785,0.000387164,5.90765380859375e-09,0.0751702121064975
12,17,131072,0.00010136,7.733154296875e-10,1.0,3.48302e-05,2.6573333740234373e-10,2.910118230730803,0.000381566,2.9111175537109376e-09,0.26564211696010653,0.000389609,2.9724807739257814e-09,0.2601582612311317
13,18,262144,0.000202793,7.735939025878906e-10,1.0,8.71928e-05,3.326141357421875e-10,2.3257998366837627,0.000408988,1.5601654052734375e-09,0.4958409537688147,0.000413746,1.5783157348632812e-09,0.4901388774755526
14,19,524288,0.000411891,7.856197357177734e-10,1.0,0.000183988,3.5092926025390625e-10,2.238684044611605,0.000403068,7.687911987304688e-10,1.0218896067164844,0.000406556,7.754440307617187e-10,1.0131224234791765
15,20,1048576,0.000689438,6.574993133544922e-10,1.0,0.000347592,3.3148956298828123e-10,1.9834691247209373,0.000387783,3.6981868743896484e-10,1.7778964008221092,0.000399598,3.8108634948730467e-10,1.7253289556003786
16,21,2097152,0.00103439,4.932355880737305e-10,1.0,0.000704685,3.3601999282836916e-10,1.4678757175191752,0.000407931,1.9451665878295898e-10,2.535698439196825,0.000432401,2.0618486404418946e-10,2.392200758092604
17,22,4194304,0.00295883,7.054400444030762e-10,1.0,0.00140073,3.3396005630493164e-10,2.1123485611074226,0.000719042,1.714329719543457e-10,4.114961295724033,0.000807058,1.9241762161254884e-10,3.6661925165229756
18,23,8388608,0.00613427,7.312619686126709e-10,1.0,0.00294878,3.515219688415527e-10,2.0802738759758275,0.00137046,1.6337156295776367e-10,4.476066430249697,0.00177387,2.1146178245544435e-10,3.4581282732105505
