,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,0.000281275,8.78984375e-06,1.0,4.40272e-05,1.37585e-06,6.38866428026311,0.000337542,1.05481875e-05,0.8333037073904878,0.000397466,1.24208125e-05,0.7076705932079724
1,6,64,0.000384933,6.014578125e-06,1.0,0.000145051,2.266421875e-06,2.6537769474184945,0.000662855,1.0357109375e-05,0.5807197652578618,0.000445871,6.966734375e-06,0.8633281823666488
2,7,128,0.000957964,7.48409375e-06,1.0,0.000277289,2.1663203125e-06,3.4547493770037754,0.000895565,6.9966015625e-06,1.069675567937559,0.00070917,5.540390625e-06,1.3508242029414668
3,8,256,0.00198505,7.7541015625e-06,1.0,0.000485975,1.89833984375e-06,4.08467513760996,0.00105931,4.1379296875e-06,1.8739084876004193,0.00110981,4.3351953125e-06,1.7886394968508124
4,9,512,0.00367563,7.17896484375e-06,1.0,0.000786113,1.535376953125e-06,4.675701839303001,0.00134555,2.62802734375e-06,2.7316933595927315,0.00115293,2.25181640625e-06,3.188077333402722
5,10,1024,0.00758984,7.411953125e-06,1.0,0.0015562,1.5197265625e-06,4.877162318468063,0.00212839,2.078505859375e-06,3.5660005919967674,0.00147627,1.441669921875e-06,5.141227553225359
6,11,2048,0.0144203,7.041162109375e-06,1.0,0.0028543,1.393701171875e-06,5.052131871211856,0.00356612,1.74126953125e-06,4.043694547575517,0.00239328,1.16859375e-06,6.025329255248028
7,12,4096,0.0252924,6.17490234375e-06,1.0,0.0052129,1.2726806640625e-06,4.851886665771451,0.00589231,1.43855224609375e-06,4.292442183116638,0.00300436,7.33486328125e-07,8.418565018839287
8,13,8192,0.0508203,6.20364990234375e-06,1.0,0.0101949,1.24449462890625e-06,4.984874790336344,0.0073063,8.9188232421875e-07,6.955682082586261,0.00352999,4.30906982421875e-07,14.39672633633523
9,14,16384,0.0944356,5.7638916015625e-06,1.0,0.0204543,1.248431396484375e-06,4.616906958439056,0.0155107,9.46697998046875e-07,6.08841638352879,0.00526558,3.21385498046875e-07,17.934510538250297
10,15,32768,0.175607,5.359100341796875e-06,1.0,0.0381594,1.164532470703125e-06,4.60193294443833,0.029817,9.09942626953125e-07,5.889492571351914,0.00828497,2.528372192382812e-07,21.19585224810712
11,16,65536,0.381678,5.823944091796875e-06,1.0,0.0814902,1.2434417724609375e-06,4.683728841014012,0.0620363,9.465988159179688e-07,6.1524945878461486,0.0144933,2.2115020751953126e-07,26.334789178447974
12,17,131072,0.740704,5.651123046875e-06,1.0,0.158725,1.2109756469726563e-06,4.666586864073082,0.113903,8.690109252929688e-07,6.502936709305286,0.0275564,2.102386474609375e-07,26.87956336821936
13,18,262144,1.47124,5.612335205078125e-06,1.0,0.326699,1.246257781982422e-06,4.503350178604771,0.24417,9.314346313476562e-07,6.025474054961707,0.0511824,1.95245361328125e-07,28.74503735659133
14,19,524288,2.9238,5.576705932617187e-06,1.0,0.652624,1.244781494140625e-06,4.480068155630194,0.478754,9.131507873535156e-07,6.107103021593553,0.110848,2.1142578125e-07,26.376659930715935
15,20,1048576,5.75228,5.485801696777344e-06,1.0,1.19055,1.135396957397461e-06,4.83161563983033,0.959899,9.154310226440429e-07,5.992588803613714,0.207795,1.9816875457763673e-07,27.68247551673524
16,21,2097152,11.3623,5.417966842651367e-06,1.0,2.45302,1.1696910858154297e-06,4.6319638649501425,1.87928,8.961105346679688e-07,6.046092120386531,0.416642,1.986703872680664e-07,27.271134451159508
17,22,4194304,28.9658,6.9059848785400394e-06,1.0,6.2383,1.4873266220092773e-06,4.6432201080422555,3.73224,8.898353576660156e-07,7.760969283861702,0.841956,2.0073795318603517e-07,34.40298542916732
