n,lane,threads,seq,simd,par,simdpar
5,8,10,8.42705e-05,2.64093e-05,0.000709819,0.000439373
6,8,10,0.000232901,0.000100619,0.000426209,0.000632876
7,8,10,0.000517725,0.000130651,0.000262877,0.00039789
8,8,10,0.00106468,0.000181074,0.00043253,0.000626818
9,8,10,0.00180011,0.000306498,0.000849909,0.000603915
10,8,10,0.00427709,0.000714527,0.00125524,0.000705232
11,8,10,0.00869997,0.00114338,0.0017579,0.000866404
12,8,10,0.0131186,0.00185503,0.00267227,0.00169725
13,8,10,0.0296043,0.00411489,0.00607963,0.00310587
14,8,10,0.0563592,0.00764317,0.00899515,0.00369685
15,8,10,0.112292,0.0154018,0.0153399,0.00359633
16,8,10,0.214543,0.0309834,0.0336593,0.00556058
17,8,10,0.401411,0.0564604,0.0593408,0.0103067
18,8,10,0.841455,0.122717,0.137915,0.019572
19,8,10,1.64356,0.244186,0.275068,0.0390422
20,8,10,4.06739,0.58784,0.538685,0.0773846
21,8,10,6.52573,0.911896,1.04768,0.146842
22,8,10,16.3494,2.36981,2.12514,0.310439
