,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,7.40974e-05,2.31554375e-06,1.0,5.71702e-05,1.78656875e-06,1.296084323651133,0.000162153,5.06728125e-06,0.4569597848945132,3.24028e-05,1.0125875e-06,2.286759168960707
1,6,64,0.000147678,2.30746875e-06,1.0,6.52861e-05,1.0200953125e-06,2.2620128940157245,5.10744e-05,7.980375e-07,2.89142897420234,4.88647e-05,7.635109375e-07,3.022181656696961
2,7,128,0.000294893,2.3038515625e-06,1.0,8.0946e-05,6.32390625e-07,3.643083043016332,5.86362e-05,4.580953125e-07,5.029196980704753,4.86754e-05,3.802765625e-07,6.05835802068396
3,8,256,0.000589474,2.3026328125e-06,1.0,0.000112314,4.387265625e-07,5.248446320138184,7.41438e-05,2.8962421875e-07,7.950415274102487,6.09588e-05,2.381203125e-07,9.670039436471846
4,9,512,0.00117687,2.29857421875e-06,1.0,0.000123487,2.41185546875e-07,9.530314931936156,0.000121869,2.38025390625e-07,9.65684464465943,9.98467e-05,1.950130859375e-07,11.786769117056448
5,10,1024,0.00236444,2.3090234375e-06,1.0,0.000300919,2.938662109375e-07,7.857396841010372,0.000211166,2.06216796875e-07,11.197067709763884,0.00017232,1.6828125e-07,13.72121634168988
6,11,2048,0.00469931,2.2945849609375e-06,1.0,0.000470819,2.2989208984375e-07,9.98113924884085,0.000402505,1.9653564453125e-07,11.67515931479112,0.000251843,1.2297021484375e-07,18.65968083289986
7,12,4096,0.00882371,2.15422607421875e-06,1.0,0.000674434,1.6465673828125e-07,13.083133412609685,0.000782685,1.91085205078125e-07,11.273641375521443,0.000284038,6.934521484375e-08,31.065244791189908
8,13,8192,0.0183964,2.245654296875e-06,1.0,0.0012924,1.57763671875e-07,14.234292788610338,0.00154307,1.88363037109375e-07,11.921947805349077,0.000347618,4.2433837890625e-08,52.921310173811484
9,14,16384,0.0336086,2.05130615234375e-06,1.0,0.00256024,1.562646484375e-07,13.127128706683749,0.00305636,1.8654541015625e-07,10.99628316036069,0.000525089,3.204888916015625e-08,64.00553049102153
10,15,32768,0.0672218,2.051446533203125e-06,1.0,0.00510482,1.557867431640625e-07,13.168299763752687,0.00608559,1.8571746826171875e-07,11.046061269326392,0.000780658,2.382379150390625e-08,86.10915407259004
11,16,65536,0.132696,2.0247802734375e-06,1.0,0.0101439,1.5478363037109376e-07,13.08135924052879,0.0121545,1.8546295166015626e-07,10.917437985931137,0.00128718,1.964080810546875e-08,103.09047685638373
12,17,131072,0.258223,1.9700851440429686e-06,1.0,0.0210998,1.6097869873046874e-07,12.238172873676527,0.0242575,1.8507003784179688e-07,10.645078841595382,0.0022923,1.7488861083984376e-08,112.64799546307201
13,18,262144,0.512903,1.9565696716308594e-06,1.0,0.0411586,1.570075988769531e-07,12.461624059127377,0.0484929,1.8498573303222656e-07,10.576867953865412,0.00431333,1.645404815673828e-08,118.91114289887396
14,19,524288,1.01993,1.945362091064453e-06,1.0,0.0816807,1.5579357147216796e-07,12.48679308575955,0.0969803,1.849752426147461e-07,10.516878170102586,0.00832806,1.588451385498047e-08,122.46909844549631
15,20,1048576,2.0433,1.9486427307128905e-06,1.0,0.165761,1.580820083618164e-07,12.326783742858694,0.193407,1.844472885131836e-07,10.564767562704555,0.0163819,1.5622997283935548e-08,124.72912177464151
16,21,2097152,4.0838,1.947307586669922e-06,1.0,0.325561,1.5523958206176757e-07,12.543885784845237,0.399493,1.90493106842041e-07,10.222456964202127,0.0324842,1.5489673614501952e-08,125.71650217644272
17,22,4194304,8.14494,1.9419050216674805e-06,1.0,0.65386,1.5589237213134766e-07,12.45670326981311,0.765973,1.8262219429016114e-07,10.63345574844022,0.0646906,1.542344093322754e-08,125.90608218195534
18,23,8388608,16.2921,1.9421696662902834e-06,1.0,1.30626,1.557183265686035e-07,12.472325570713336,1.68711,2.0111918449401857e-07,9.65680957376816,0.128644,1.5335559844970704e-08,126.64484935169926
