n,lane,threads,seq,simd,par,simdpar
5,8,20,0.000140043,5.95872e-05,8.17867e-05,8.60114e-05
6,8,20,0.000275453,9.12559e-05,0.000191091,0.00019682
7,8,20,0.000550465,0.000128853,0.000173779,0.000193861
8,8,20,0.00109681,0.000206013,0.000128596,0.000189384
9,8,20,0.00219209,0.00035745,0.000169763,0.000131923
10,8,20,0.00439149,0.000663701,0.000307815,0.000192395
11,8,20,0.00895045,0.00127191,0.000589541,0.000242934
12,8,20,0.0180543,0.00249397,0.00115223,0.00032942
13,8,20,0.0355892,0.00492722,0.0023164,0.000491386
14,8,20,0.0705935,0.0102629,0.00452276,0.000798165
15,8,20,0.140915,0.020114,0.00900314,0.0014088
16,8,20,0.280968,0.039602,0.0179693,0.00263177
17,8,20,0.561496,0.0785961,0.036307,0.00507215
18,8,20,1.11984,0.156408,0.0724869,0.00995431
19,8,20,2.20245,0.311992,0.144829,0.0197052
20,8,20,4.32945,0.623839,0.291308,0.0397578
21,8,20,8.71702,1.24088,0.582919,0.079108
22,8,20,17.0651,2.08906,1.1671,0.15715
23,8,20,33.6524,4.78907,2.33627,0.313165
