,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,0.000143274,4.4773125e-06,1.0,5.90267e-05,1.844584375e-06,2.427274436822658,8.24869e-05,2.577715625e-06,1.736930348940256,8.58747e-05,2.683584375e-06,1.6684075752229701
1,6,64,0.000280637,4.384953125e-06,1.0,9.06925e-05,1.4170703125e-06,3.094379358822394,0.00020029,3.12953125e-06,1.4011533276748713,0.00020055,3.13359375e-06,1.3993368237347295
2,7,128,0.000548748,4.28709375e-06,1.0,0.000129677,1.0131015625e-06,4.231652490418502,0.000174379,1.3623359375e-06,3.1468697492243907,0.000197802,1.545328125e-06,2.774228774228775
3,8,256,0.00109691,4.2848046875e-06,1.0,0.000205455,8.0255859375e-07,5.338930666082597,0.000135203,5.2813671875e-07,8.113059621458104,0.000187668,7.33078125e-07,5.844949591832385
4,9,512,0.00219163,4.28052734375e-06,1.0,0.000357745,6.98720703125e-07,6.1262351675075815,0.000170041,3.32111328125e-07,12.888832693291617,0.000135196,2.640546875e-07,16.210760673392706
5,10,1024,0.0043706,4.2681640625e-06,1.0,0.000659625,6.441650390625e-07,6.625885920030321,0.000307341,3.001376953125e-07,14.220686468775725,0.000196854,1.92240234375e-07,22.20224125494021
6,11,2048,0.0089308,4.3607421875e-06,1.0,0.00127137,6.207861328125e-07,7.024548321888985,0.000590067,2.8811865234375e-07,15.135230406038636,0.000243637,1.1896337890625e-07,36.65617291298119
7,12,4096,0.0179584,4.384375e-06,1.0,0.00249093,6.0813720703125e-07,7.209516124499684,0.00114973,2.8069580078125e-07,15.619667226218327,0.000330556,8.07021484375e-08,54.32785972724742
8,13,8192,0.0354042,4.3218017578125e-06,1.0,0.00492651,6.01380615234375e-07,7.186466687370977,0.00227285,2.77447509765625e-07,15.577006841630551,0.000489511,5.97547607421875e-08,72.32564743182482
9,14,16384,0.0703847,4.295941162109375e-06,1.0,0.0101695,6.20697021484375e-07,6.921156399036334,0.00451919,2.758294677734375e-07,15.57462731153149,0.000796177,4.859478759765625e-08,88.40333242482512
10,15,32768,0.140589,4.290435791015625e-06,1.0,0.0201066,6.13604736328125e-07,6.992181671689893,0.00900051,2.7467376708984374e-07,15.620114860157924,0.0014075,4.29534912109375e-08,99.88561278863233
11,16,65536,0.280376,4.2781982421875e-06,1.0,0.0396238,6.046112060546875e-07,7.075949303196564,0.0179642,2.741119384765625e-07,15.607485999933202,0.00263619,4.0225067138671876e-08,106.35652210197293
12,17,131072,0.56013,4.273452758789063e-06,1.0,0.0785863,5.995658874511719e-07,7.1275782165593755,0.0362688,2.76708984375e-07,15.443852567496032,0.00507435,3.871421813964844e-08,110.38458127641964
13,18,262144,1.11382,4.248886108398438e-06,1.0,0.156543,5.971641540527343e-07,7.11510575369068,0.0724358,2.7632064819335935e-07,15.376650772132013,0.0099699,3.803215026855469e-08,111.71827199871613
14,19,524288,2.21288,4.220733642578125e-06,1.0,0.312137,5.953540802001953e-07,7.089451106405201,0.144719,2.7602958679199216e-07,15.290874038654222,0.0197083,3.7590599060058597e-08,112.28162753763642
15,20,1048576,4.26127,4.063863754272461e-06,1.0,0.624095,5.951833724975586e-07,6.827918826460715,0.289761,2.763376235961914e-07,14.706154382404808,0.0397611,3.791913986206055e-08,107.17183377723453
16,21,2097152,8.6041,4.102754592895508e-06,1.0,1.24443,5.933904647827148e-07,6.914089181392285,0.582505,2.7776002883911135e-07,14.770860335962782,0.0791089,3.7722063064575193e-08,108.76273086846109
17,22,4194304,17.0624,4.0679931640625e-06,1.0,2.44696,5.834007263183593e-07,6.972896982378135,1.16836,2.785587310791016e-07,14.60371803211339,0.157143,3.746581077575684e-08,108.57881038289965
18,23,8388608,33.8917,4.040205478668213e-06,1.0,4.82307,5.749547481536866e-07,7.02699732742838,2.337,2.785921096801758e-07,14.502225074882327,0.3132,3.7336349487304685e-08,108.21104725415071
19,24,16777216,65.701,3.916084766387939e-06,1.0,9.21697,5.493742227554321e-07,7.128264494730915,4.58756,2.73439884185791e-07,14.321556557298432,0.625589,3.728801012039184e-08,105.02262667661995
20,25,33554432,130.699,3.89513373374939e-06,1.0,16.8417,5.019217729568481e-07,7.760439860584146,9.11567,2.716681361198425e-07,14.337838030556176,1.25258,3.7329792976379395e-08,104.34383432595125
