n,lane,threads,seq,simd,par,simdpar
5,16,10,0.000297583,9.26199e-05,7.11625e-05,8.03491e-05
6,16,10,0.000326796,0.000101755,6.95083e-05,6.35038e-05
7,16,10,0.000656142,0.000129197,0.000105427,7.4826e-05
8,16,10,0.00111957,0.000167182,0.000163258,0.000117298
9,16,10,0.00228854,0.000297029,0.000305166,0.000201095
10,16,10,0.00451392,0.000472534,0.000584547,0.000335705
11,16,10,0.010712,0.000780656,0.00114606,0.000409243
12,16,10,0.0197698,0.00146554,0.00228138,0.000512205
13,16,10,0.0391766,0.00273138,0.00448656,0.00068058
14,16,10,0.0761202,0.00549401,0.00894292,0.00100561
15,16,10,0.144867,0.0108568,0.0178743,0.00165911
16,16,10,0.288535,0.0214184,0.0360591,0.00299504
17,16,10,0.58244,0.0422303,0.0718106,0.00560364
18,16,10,1.15292,0.0840671,0.143263,0.010855
19,16,10,2.28968,0.16713,0.286761,0.0213623
20,16,10,4.72525,0.340965,0.572994,0.042733
21,16,10,9.18276,0.684714,1.14797,0.0850913
22,16,10,18.1207,1.33841,2.30204,0.17177
23,16,10,36.2847,2.65247,4.58885,0.340226
24,16,10,72.2358,5.24747,9.18806,0.678725
25,16,10,143.922,9.94238,18.3788,1.35754
