,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,9.74491e-05,3.045284375e-06,1.0,6.05421e-05,1.891940625e-06,1.609608850700587,8.67742e-05,2.71169375e-06,1.1230192845338822,8.80032e-05,2.7501e-06,1.1073358696047415
1,6,64,0.000204273,3.191765625e-06,1.0,8.64615e-05,1.3509609375e-06,2.3625891292656265,0.000200031,3.125484375e-06,1.021206712959491,0.000198038,3.09434375e-06,1.0314838566335753
2,7,128,0.000381575,2.9810546875e-06,1.0,0.000109431,8.549296875e-07,3.4869004212700236,0.000194526,1.519734375e-06,1.9615629787277795,0.000197716,1.54465625e-06,1.9299146250177022
3,8,256,0.000759318,2.9660859375e-06,1.0,0.000141061,5.5101953125e-07,5.382905267933731,0.000171808,6.71125e-07,4.4195730117340295,0.000183629,7.1730078125e-07,4.135065812044938
4,9,512,0.00152678,2.9819921875e-06,1.0,0.000203709,3.97869140625e-07,7.494906950601102,0.000138926,2.7133984375e-07,10.989879504196479,0.000145402,2.8398828125e-07,10.500405771584985
5,10,1024,0.00304295,2.971630859375e-06,1.0,0.000329648,3.21921875e-07,9.230906906761152,0.000221272,2.160859375e-07,13.752078889330779,0.000177474,1.73314453125e-07,17.145891792600604
6,11,2048,0.00607521,2.9664111328125e-06,1.0,0.000582791,2.8456591796875e-07,10.42433736965739,0.000410485,2.0043212890625e-07,14.800077956563578,0.000262672,1.282578125e-07,23.128502466954988
7,12,4096,0.0125193,3.0564697265625e-06,1.0,0.00108295,2.6439208984375e-07,11.560367514659033,0.000794018,1.9385205078125e-07,15.767022913838227,0.00031184,7.61328125e-08,40.146549512570544
8,13,8192,0.0247312,3.0189453125e-06,1.0,0.00208747,2.54818115234375e-07,11.847451699904667,0.00155706,1.9007080078125e-07,15.883267183024415,0.000398348,4.862646484375e-08,62.08440860754918
9,14,16384,0.0491858,3.00206298828125e-06,1.0,0.00409507,2.499432373046875e-07,12.010979055303084,0.00308359,1.882073974609375e-07,15.950823553066392,0.000529226,3.23013916015625e-08,92.93912241651014
10,15,32768,0.0976066,2.978717041015625e-06,1.0,0.00830491,2.5344573974609376e-07,11.752878718733857,0.00613487,1.8722137451171874e-07,15.910133385059504,0.000781065,2.3836212158203123e-08,124.96603995826213
11,16,65536,0.195149,2.9777374267578123e-06,1.0,0.0163524,2.49517822265625e-07,11.933966879479465,0.0122836,1.87432861328125e-07,15.8869549643427,0.00129023,1.9687347412109376e-08,151.25132728273252
12,17,131072,0.389692,2.973114013671875e-06,1.0,0.0327561,2.4990921020507815e-07,11.896776478274274,0.024417,1.8628692626953126e-07,15.95986402916001,0.00229099,1.747886657714844e-08,170.0976433768807
13,18,262144,0.77984,2.974853515625e-06,1.0,0.0648621,2.4742927551269533e-07,12.023045815661224,0.0494654,1.8869552612304687e-07,15.76536326401889,0.00430828,1.6434783935546876e-08,181.0095908343933
14,19,524288,1.55612,2.9680633544921874e-06,1.0,0.128901,2.4585914611816404e-07,12.072210456086454,0.0983087,1.8750896453857422e-07,15.828914429750368,0.00832726,1.5882987976074218e-08,186.8705912869299
15,20,1048576,3.27191,3.1203365325927735e-06,1.0,0.25711,2.4519920349121094e-07,12.725720508731671,0.204212,1.9475173950195313e-07,16.022124067145906,0.0163667,1.5608501434326173e-08,199.91262746919048
16,21,2097152,6.61429,3.1539392471313474e-06,1.0,0.513903,2.4504804611206055e-07,12.870697388417657,0.418558,1.995840072631836e-07,15.802564996965772,0.0326763,1.5581274032592773e-08,202.41857248219657
17,22,4194304,13.2611,3.1616926193237307e-06,1.0,1.02738,2.4494647979736327e-07,12.907687515816933,0.863789,2.0594334602355958e-07,15.352244587509219,0.0656279,1.5646910667419434e-08,202.0649754144198
18,23,8388608,26.1353,3.1155705451965333e-06,1.0,1.98579,2.367246150970459e-07,13.161160042099114,1.73856,2.0725250244140626e-07,15.032728234861034,0.129794,1.54726505279541e-08,201.3598471423949
19,24,16777216,51.9431,3.096050024032593e-06,1.0,3.89976,2.3244380950927735e-07,13.319563255174677,3.56113,2.122598886489868e-07,14.58612856031653,0.258303,1.5396058559417725e-08,201.09367680592172
20,25,33554432,103.942,3.097712993621826e-06,1.0,7.39825,2.2048503160476685e-07,14.04953874227013,7.09951,2.1158188581466676e-07,14.640728726348717,0.515125,1.535192131996155e-08,201.78015044892012
