n,lane,threads,seq,simd,par,simdpar
5,8,20,9.24328e-05,4.79481e-05,8.13822e-05,3.39162e-05
6,8,20,0.000178469,7.03561e-05,6.67734e-05,3.53637e-05
7,8,20,0.000376147,0.000125048,7.94587e-05,5.58052e-05
8,8,20,0.000765791,0.000181471,0.000130839,0.000109086
9,8,20,0.00147746,0.000333608,0.000244416,0.000120207
10,8,20,0.00294547,0.000639506,0.000481089,0.000169082
11,8,20,0.0057736,0.00125029,0.000926335,0.000231791
12,8,20,0.0114413,0.00246866,0.00182989,0.000354905
13,8,20,0.0228078,0.00490702,0.00364541,0.00062753
14,8,20,0.0455399,0.00980805,0.00671507,0.00111633
15,8,20,0.0911716,0.0195629,0.0136442,0.00211257
16,8,20,0.1796,0.0277114,0.0228234,0.00409342
17,8,20,0.363925,0.0780908,0.0384987,0.00813161
18,8,20,0.726854,0.154897,0.0674458,0.0152713
19,8,20,1.36129,0.234578,0.125639,0.0249595
20,8,20,2.7564,0.484682,0.242769,0.0393853
21,8,20,5.46065,0.949474,0.477294,0.0696458
22,8,20,10.7185,1.89999,0.944677,0.133741
23,8,20,21.3324,3.83783,1.85803,0.255929
24,8,20,42.5494,7.72047,3.70576,0.505621
25,8,20,84.7519,15.486,7.53564,1.00684
