,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,0.000207906,6.4970625e-06,1.0,6.555e-05,2.0484375e-06,3.1717162471395883,9.629690000000001e-05,3.0092781250000003e-06,2.159010310819974,5.0067299999999994e-05,1.5646031249999998e-06,4.152530693686299
1,6,64,0.000416939,6.514671875e-06,1.0,8.06635e-05,1.2603671875e-06,5.168868199371463,0.000153266,2.39478125e-06,2.7203619850456073,8.73592e-05,1.3649875e-06,4.772697094295736
2,7,128,0.000703362,5.495015625e-06,1.0,0.000151404,1.18284375e-06,4.64559721011334,0.00025326,1.97859375e-06,2.7772328832030326,0.000140254,1.095734375e-06,5.014915795627933
3,8,256,0.00137621,5.3758203125e-06,1.0,0.00019702,7.69609375e-07,6.9851284133590505,0.000490845,1.91736328125e-06,2.80375678676568,0.000159395,6.2263671875e-07,8.63395965996424
4,9,512,0.00273153,5.33501953125e-06,1.0,0.00033640300000000004,6.570371093750001e-07,8.119814627099043,0.000972317,1.899056640625e-06,2.80929984768342,0.000220755,4.31162109375e-07,12.373581572331316
5,10,1024,0.00575445,5.619580078125e-06,1.0,0.0007500060000000001,7.324277343750001e-07,7.672538619691042,0.00195265,1.906884765625e-06,2.9469951092105604,0.000283959,2.773037109375e-07,20.26507347891773
6,11,2048,0.011162100000000001,5.450244140625001e-06,1.0,0.00135169,6.600048828125e-07,8.257884574125725,0.00382906,1.869658203125e-06,2.915101878790095,0.000451203,2.2031396484375e-07,24.738532323588277
7,12,4096,0.0232111,5.6667724609375e-06,1.0,0.0031850999999999997,7.776123046874999e-07,7.28740070955386,0.0068797,1.6796142578125e-06,3.373853511054261,0.0007450569999999999,1.8189868164062498e-07,31.153455373213056
8,13,8192,0.0378525,4.62066650390625e-06,1.0,0.00576233,7.03409423828125e-07,6.568957348850204,0.011383299999999999,1.3895629882812499e-06,3.325265959783191,0.00141064,1.72197265625e-07,26.83356490670901
9,14,16384,0.07412360000000001,4.524145507812501e-06,1.0,0.011426,6.973876953125e-07,6.48727463679328,0.019005200000000003,1.1599853515625002e-06,3.9001746890324753,0.0025995000000000002,1.5866088867187502e-07,28.51456049240239
10,15,32768,0.14418699999999998,4.4002380371093744e-06,1.0,0.0234855,7.167205810546875e-07,6.139405164888974,0.0330417,1.0083526611328125e-06,4.363788788107149,0.00513889,1.5682647705078125e-07,28.058004744215186
11,16,65536,0.295068,4.50238037109375e-06,1.0,0.046441,7.086334228515625e-07,6.353609956719278,0.0626505,9.559707641601562e-07,4.7097469293940195,0.0103546,1.579986572265625e-07,28.496320475923742
12,17,131072,0.594581,4.5362930297851564e-06,1.0,0.0925305,7.059516906738281e-07,6.42578393070393,0.115702,8.827362060546875e-07,5.138899932585435,0.0177406,1.3535003662109374e-07,33.51527005850986
13,18,262144,1.17088,4.466552734375e-06,1.0,0.173995,6.637382507324219e-07,6.729388775539526,0.220898,8.426589965820313e-07,5.300545953335928,0.028888,1.10198974609375e-07,40.53170866795901
14,19,524288,2.3130599999999997,4.411811828613281e-06,1.0,0.344223,6.565532684326172e-07,6.719655572114587,0.418907,7.990016937255859e-07,5.521655164511454,0.0498223,9.502849578857422e-08,46.4261987102161
15,20,1048576,4.63779,4.422941207885742e-06,1.0,0.679964,6.484642028808594e-07,6.820640504497296,0.8258629999999999,7.876043319702148e-07,5.6156892850266935,0.0905222,8.632869720458984e-08,51.23373051030576
16,21,2097152,9.15053,4.363312721252441e-06,1.0,1.3724100000000001,6.544160842895508e-07,6.66749003577648,1.60666,7.661151885986328e-07,5.695374254664957,0.176398,8.411312103271484e-08,51.87434097892266
17,22,4194304,18.112000000000002,4.3182373046875004e-06,1.0,2.78772,6.646442413330079e-07,6.497065702437835,3.22783,7.695746421813965e-07,5.611200094180921,0.3454,8.234977722167968e-08,52.43775332947308
18,23,8388608,36.1238,4.306292533874512e-06,1.0,5.53798,6.601786613464356e-07,6.522919909425458,6.35912,7.58066177368164e-07,5.680628766244387,0.681962,8.129620552062988e-08,52.970400110270084
19,24,16777216,72.762,4.336953163146973e-06,1.0,10.9182,6.5077543258667e-07,6.664285321756333,12.5933,7.506191730499267e-07,5.777834245193874,1.32515,7.898509502410889e-08,54.90850092442365
20,25,33554432,145.968,4.350185394287109e-06,1.0,22.4994,6.70534372329712e-07,6.48763967039121,25.3575,7.557123899459839e-07,5.756403430937592,2.68642,8.006155490875244e-08,54.33550971180976
