,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,7.40035e-05,2.312609375e-06,1.0,5.77484e-05,1.8046375e-06,1.2814813916922374,0.000159844,4.995125e-06,0.46297327394209353,3.73565e-05,1.167390625e-06,1.9810073213496981
1,6,64,0.000149552,2.33675e-06,1.0,6.51486e-05,1.017946875e-06,2.295552014932017,4.65166e-05,7.26821875e-07,3.215024313900844,3.6844e-05,5.756875e-07,4.059059819780697
2,7,128,0.000296733,2.3182265625e-06,1.0,8.1147e-05,6.339609375e-07,3.6567340751968644,6.27105e-05,4.8992578125e-07,4.731791326811299,5.20393e-05,4.0655703125e-07,5.702094378671504
3,8,256,0.000591084,2.308921875e-06,1.0,0.000112311,4.3871484375e-07,5.2629217084702296,9.74894e-05,3.8081796875e-07,6.063059163355195,8.25221e-05,3.22351953125e-07,7.162735800470419
4,9,512,0.00117283,2.29068359375e-06,1.0,0.000141209,2.75798828125e-07,8.305632077275527,0.000168154,3.2842578125e-07,6.974737443058149,0.000162535,3.17451171875e-07,7.2158611991263415
5,10,1024,0.00236139,2.306044921875e-06,1.0,0.000301274,2.94212890625e-07,7.838014564814754,0.000321921,3.143759765625e-07,7.335308973319541,0.000161146,1.57369140625e-07,14.65373015774515
6,11,2048,0.0046663,2.278466796875e-06,1.0,0.000487253,2.3791650390625e-07,9.576749655723003,0.000628137,3.0670751953125e-07,7.428793400165888,0.000208326,1.017216796875e-07,22.399028445801292
7,12,4096,0.0091259,2.2280029296875e-06,1.0,0.000848121,2.07060791015625e-07,10.760139178254047,0.00123236,3.00869140625e-07,7.405222499918854,0.000268319,6.5507568359375e-08,34.011381974440866
8,13,8192,0.0170552,2.08193359375e-06,1.0,0.0013042,1.592041015625e-07,13.07713540867965,0.00245124,2.992236328125e-07,6.957784631451837,0.000404327,4.93563232421875e-08,42.18169946602626
9,14,16384,0.0334133,2.039385986328125e-06,1.0,0.00255043,1.556658935546875e-07,13.101045706018201,0.00483475,2.950897216796875e-07,6.911070893014117,0.000597757,3.648419189453125e-08,55.89779793461223
10,15,32768,0.0670563,2.0463958740234375e-06,1.0,0.00519652,1.58585205078125e-07,12.90407811381463,0.00962741,2.9380523681640623e-07,6.965144311917744,0.00100526,3.06781005859375e-08,66.7054294411396
11,16,65536,0.132894,2.027801513671875e-06,1.0,0.0101377,1.5468902587890624e-07,13.108890576758043,0.0190146,2.901397705078125e-07,6.989050519074817,0.00182003,2.7771453857421876e-08,73.01747773388351
12,17,131072,0.257056,1.961181640625e-06,1.0,0.021008,1.602783203125e-07,12.236100533130237,0.0379815,2.897758483886719e-07,6.767926490528284,0.0034378,2.622833251953125e-08,74.77340159404271
13,18,262144,0.512814,1.9562301635742187e-06,1.0,0.0411742,1.5706710815429688e-07,12.454741075722175,0.0810274,3.090950012207031e-07,6.3288961511784905,0.00663682,2.5317459106445312e-08,77.26802896567935
14,19,524288,1.02119,1.947765350341797e-06,1.0,0.0822304,1.56842041015625e-07,12.418643226835819,0.150561,2.871723175048828e-07,6.7825665344943245,0.0130671,2.492351531982422e-08,78.14970421899274
15,20,1048576,2.03858,1.944141387939453e-06,1.0,0.165247,1.575918197631836e-07,12.33656284229063,0.292698,2.791385650634766e-07,6.96478964666653,0.0259543,2.4751949310302734e-08,78.54498098580967
16,21,2097152,4.06759,1.9395780563354492e-06,1.0,0.326837,1.5584802627563476e-07,12.445316778700086,0.621594,2.9639911651611327e-07,6.543805120384045,0.0516687,2.4637556076049804e-08,78.72445019905669
17,22,4194304,8.15122,1.9434022903442384e-06,1.0,0.651225,1.5526413917541505e-07,12.516749203424315,0.762018,1.8167924880981445e-07,10.696886425255048,0.0686413,1.6365361213684083e-08,118.75095605706768
18,23,8388608,16.2372,1.9356250762939455e-06,1.0,1.30352,1.5539169311523438e-07,12.456425678163741,1.77395,2.114713191986084e-07,9.153132839144284,0.10326,1.2309551239013672e-08,157.24578733294598
