n,lane,threads,seq,simd,par,simdpar
5,4,10,0.000166002,4.91992e-05,4.01102e-05,2.73673e-05
6,4,10,0.000327811,8.43338e-05,6.16823e-05,4.2758e-05
7,4,10,0.000655955,0.00015715,0.000112424,4.79532e-05
8,4,10,0.00130678,0.000299381,0.000168581,6.71745e-05
9,4,10,0.00261023,0.000579606,0.000288875,9.20483e-05
10,4,10,0.00544194,0.00115335,0.000552886,0.00014518
11,4,10,0.0106449,0.00229074,0.00109599,0.000263787
12,4,10,0.0210558,0.00476902,0.00215345,0.000499249
13,4,10,0.0419931,0.00934457,0.00427506,0.000944164
14,4,10,0.0837016,0.018454,0.00852814,0.00186215
15,4,10,0.167447,0.0366551,0.0173707,0.00368734
16,4,10,0.334875,0.0730722,0.0339725,0.00735937
17,4,10,0.668057,0.145886,0.0678247,0.014677
18,4,10,1.32279,0.291362,0.135601,0.0292925
19,4,10,2.59934,0.582917,0.271451,0.0584971
20,4,10,5.09378,1.16534,0.542543,0.116898
21,4,10,9.91218,2.32452,1.08424,0.23374
22,4,10,19.5104,4.5783,2.1683,0.468273
23,4,10,38.6033,9.04172,4.33459,0.935908
24,4,10,76.8552,17.9415,8.66713,1.8703
25,4,10,154,35.6658,17.3342,3.73948
