,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,0.000139826,4.3695625e-06,1.0,5.92562e-05,1.85175625e-06,2.359685568767488,7.72005e-05,2.412515625e-06,1.8112058859722413,8.22268e-05,2.5695875e-06,1.7004918104559585
1,6,64,0.000278284,4.3481875e-06,1.0,9.09381e-05,1.4209078125e-06,3.0601475069305386,5.2972e-05,8.276875e-07,5.253416899494073,4.25626e-05,6.65040625e-07,6.5382283977012685
2,7,128,0.000552699,4.3179609375e-06,1.0,0.000129663,1.0129921875e-06,4.262580689942389,6.89181e-05,5.3842265625e-07,8.019649409951812,5.11202e-05,3.993765625e-07,10.811753475142899
3,8,256,0.00110298,4.308515625e-06,1.0,0.00020544,8.025e-07,5.368866822429906,0.000116286,4.542421875e-07,9.485062690263659,8.31614e-05,3.2484921875e-07,13.263124478423883
4,9,512,0.00219153,4.28033203125e-06,1.0,0.000357585,6.98408203125e-07,6.128696673518185,0.000176348,3.444296875e-07,12.427302833034682,0.000107854,2.1065234375e-07,20.319413280916795
5,10,1024,0.00439815,4.295068359375e-06,1.0,0.000661439,6.459365234375e-07,6.649366003516575,0.000259333,2.532548828125e-07,16.95946909957468,0.000118184,1.154140625e-07,37.214428349015094
6,11,2048,0.00885822,4.325302734375e-06,1.0,0.00127288,6.215234375e-07,6.959194896612406,0.000488083,2.3832177734375e-07,18.149003345742425,0.000173466,8.47001953125e-08,51.06603023070804
7,12,4096,0.0179497,4.3822509765625e-06,1.0,0.00249117,6.0819580078125e-07,7.205329222814982,0.000960387,2.34469482421875e-07,18.69006973230583,0.000237498,5.798291015625e-08,75.5783206595424
8,13,8192,0.0354652,4.329248046875e-06,1.0,0.00493026,6.0183837890625e-07,7.193373168960664,0.00184662,2.2541748046875e-07,19.20546728617691,0.000370193,4.51895751953125e-08,95.80191953926736
9,14,16384,0.0704588,4.3004638671875e-06,1.0,0.0102208,6.23828125e-07,6.893667814652473,0.00365727,2.232220458984375e-07,19.2654083510378,0.000626714,3.82515869140625e-08,112.42576358594192
10,15,32768,0.140747,4.295257568359375e-06,1.0,0.0200541,6.120025634765624e-07,7.01836532180452,0.00726046,2.215716552734375e-07,19.385410841737304,0.00112544,3.4345703125e-08,125.05953227182259
11,16,65536,0.280884,4.28594970703125e-06,1.0,0.0396216,6.0457763671875e-07,7.089163486583076,0.0144597,2.2063751220703126e-07,19.425299280068053,0.00212618,3.244293212890625e-08,132.10734744941632
12,17,131072,0.561138,4.281143188476563e-06,1.0,0.0786307,5.999046325683594e-07,7.13637294339234,0.0288259,2.1992416381835939e-07,19.466452044862432,0.00414933,3.165687561035156e-08,135.23580915473102
13,18,262144,1.11788,4.264373779296875e-06,1.0,0.156572,5.972747802734375e-07,7.1397184681807735,0.0578631,2.2073020935058594e-07,19.31939353404847,0.00816721,3.1155433654785154e-08,136.8741589845247
14,19,524288,2.22363,4.241237640380859e-06,1.0,0.31212,5.953216552734375e-07,7.124279123414071,0.1167,2.2258758544921875e-07,19.054241645244215,0.0166988,3.1850433349609375e-08,133.16106546578197
15,20,1048576,4.36572,4.163475036621093e-06,1.0,0.62513,5.96170425415039e-07,6.983699390526771,0.234385,2.2352695465087892e-07,18.6262772788361,0.0321153,3.062753677368164e-08,135.93894498883708
16,21,2097152,8.6123,4.106664657592773e-06,1.0,1.24251,5.924749374389648e-07,6.931372785732107,0.467718,2.2302532196044923e-07,18.413445708739026,0.0662659,3.159804344177246e-08,129.96578934263323
17,22,4194304,17.089,4.074335098266601e-06,1.0,2.40555,5.735278129577636e-07,7.103988692814533,0.9356,2.2306442260742187e-07,18.26528430953399,0.130157,3.103184700012207e-08,131.29528185191728
18,23,8388608,33.63,4.009008407592774e-06,1.0,4.59704,5.480098724365234e-07,7.315576979969721,1.87659,2.2370696067810058e-07,17.920803158921235,0.256312,3.055477142333984e-08,131.20727862917073
