n,lane,threads,seq,simd,par,simdpar
5,16,20,9.57583e-05,6.13055e-05,8.59944e-05,9.04054e-05
6,16,20,0.000193205,8.12083e-05,4.46234e-05,4.48293e-05
7,16,20,0.000381323,0.000109595,5.27231e-05,5.67414e-05
8,16,20,0.000763191,0.000142519,8.45287e-05,7.32433e-05
9,16,20,0.00151896,0.000203568,0.000121213,0.000101662
10,16,20,0.00304353,0.000329962,0.000183113,0.000107585
11,16,20,0.00607241,0.000579338,0.000337139,0.000141978
12,16,20,0.0121478,0.00108338,0.000657107,0.000204698
13,16,20,0.024344,0.00208726,0.00125753,0.000250629
14,16,20,0.048191,0.00410084,0.00247576,0.000342782
15,16,20,0.0950721,0.0081117,0.00492527,0.000550948
16,16,20,0.18695,0.0161479,0.00984486,0.000977163
17,16,20,0.363757,0.0316306,0.019844,0.00176248
18,16,20,0.694593,0.0580599,0.0391734,0.00337004
19,16,20,1.35299,0.107895,0.0786506,0.00659239
20,16,20,2.85393,0.220008,0.17748,0.0131067
21,16,20,5.82713,0.385163,0.35655,0.0261688
22,16,20,11.7903,0.702481,0.710183,0.0517238
23,16,20,23.738,1.33596,1.41976,0.103355
