,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,0.000274848,8.589e-06,1.0,8.76596e-05,2.7393625e-06,3.1354010285239724,4.58965e-05,1.434265625e-06,5.9884304903424015,3.6100300000000004e-05,1.1281343750000001e-06,7.613454735833219
1,6,64,0.000338663,5.291609375e-06,1.0,0.00010151,1.58609375e-06,3.3362525859521233,6.76392e-05,1.0568625e-06,5.006904280358136,4.9328599999999994e-05,7.707593749999999e-07,6.8654492525634225
2,7,128,0.000627789,4.9046015625e-06,1.0,0.00012932700000000002,1.0103671875000001e-06,4.854276369203646,0.000102778,8.02953125e-07,6.108204090369535,7.23787e-05,5.6545859375e-07,8.67367056882757
3,8,256,0.00112942,4.411796875e-06,1.0,0.000172885,6.7533203125e-07,6.532781907048037,0.00016251,6.348046875e-07,6.949849240046766,0.00011622,4.53984375e-07,9.717948717948717
4,9,512,0.00232315,4.53740234375e-06,1.0,0.000265055,5.17685546875e-07,8.764784667333196,0.00033863,6.6138671875e-07,6.860437645808109,0.000139784,2.73015625e-07,16.61957019401362
5,10,1024,0.00515897,5.038056640625e-06,1.0,0.000418959,4.091396484375e-07,12.313782494229745,0.00049506,4.8345703125e-07,10.420898476952289,0.00019309400000000002,1.8856835937500002e-07,26.71740188716376
6,11,2048,0.0101396,4.9509765625e-06,1.0,0.00074886,3.65654296875e-07,13.540047538925835,0.00102917,5.025244140625e-07,9.8522110049846,0.000243568,1.189296875e-07,41.62944229126979
7,12,4096,0.0201685,4.9239501953125e-06,1.0,0.00140998,3.442333984375e-07,14.304103604306444,0.00223916,5.46669921875e-07,9.007172332481822,0.00031399900000000003,7.665991210937501e-08,64.23109627737666
8,13,8192,0.038859899999999996,4.7436401367187495e-06,1.0,0.00280929,3.42930908203125e-07,13.832640987580492,0.00460078,5.6161865234375e-07,8.446372136898527,0.000432749,5.28258056640625e-08,89.79778116182821
9,14,16384,0.076106,4.6451416015625e-06,1.0,0.00552496,3.37216796875e-07,13.774941357041499,0.00764944,4.66884765625e-07,9.949225041310212,0.000753176,4.597021484375e-08,101.0467672894516
10,15,32768,0.150764,4.6009521484375e-06,1.0,0.010954299999999998,3.3429870605468745e-07,13.76299717918991,0.0152609,4.657257080078125e-07,9.879102805208081,0.00122958,3.75238037109375e-08,122.61422599586851
11,16,65536,0.291425,4.446792602539062e-06,1.0,0.021161199999999998,3.2289428710937497e-07,13.771667013212863,0.0308904,4.7135009765625e-07,9.434160774868568,0.00235448,3.5926513671875e-08,123.77467636165947
12,17,131072,0.575442,4.3902740478515626e-06,1.0,0.042224300000000006,3.221458435058594e-07,13.628218821863237,0.0599155,4.5711898803710935e-07,9.60422595154843,0.00472346,3.603713989257812e-08,121.82637304010197
13,18,262144,1.17651,4.4880294799804685e-06,1.0,0.0845744,3.22625732421875e-07,13.91094704780643,0.121672,4.64141845703125e-07,9.669521336051021,0.00997579,3.805461883544922e-08,117.93652432539177
14,19,524288,2.35177,4.485645294189453e-06,1.0,0.167952,3.20343017578125e-07,14.002631704296467,0.238801,4.5547676086425784e-07,9.848241841533326,0.019207,3.6634445190429684e-08,122.4433800177019
15,20,1048576,4.69538,4.477863311767578e-06,1.0,0.333646,3.181896209716797e-07,14.072939582671454,0.47224499999999997,4.503679275512695e-07,9.942678059058329,0.0395233,3.769235610961914e-08,118.80030260631072
16,21,2097152,9.21136,4.392318725585938e-06,1.0,0.68014,3.243160247802734e-07,13.543329314552889,0.9500549999999999,4.5302152633666986e-07,9.695607096431262,0.07713510000000001,3.678088188171387e-08,119.41852671481594
17,22,4194304,18.2123,4.3421506881713865e-06,1.0,1.37615,3.2809972763061523e-07,13.234240453438941,1.87399,4.467940330505371e-07,9.718461678023894,0.157718,3.7602901458740234e-08,115.47382036292623
18,23,8388608,36.193000000000005,4.314541816711426e-06,1.0,2.71729,3.239262104034424e-07,13.31952055172617,3.7332099999999997,4.4503331184387203e-07,9.694873848511069,0.30156900000000003,3.5949826240539555e-08,120.01565147611326
19,24,16777216,72.2224,4.3047904968261715e-06,1.0,5.26224,3.136539459228516e-07,13.724649578886556,7.41288,4.418420791625977e-07,9.742826000151087,0.590915,3.522127866744995e-08,122.22130086391444
20,25,33554432,144.179,4.2968690395355225e-06,1.0,9.997110000000001,2.979370951652527e-07,14.422067977645538,14.7653,4.400402307510376e-07,9.764718630843939,1.14475,3.411620855331421e-08,125.9480235859358
