,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,8.272e-08,2.585e-09,1.0,1.1664e-07,3.645e-09,0.7091906721536351,8.30464e-05,2.5952e-06,0.0009960696670776818,8.5458e-05,2.6705625e-06,0.0009679608696669711
1,6,64,8.684e-08,1.356875e-09,1.0,9.744e-08,1.5225e-09,0.891215106732348,0.00020024,3.12875e-06,0.0004336795844986017,0.000204862,3.20096875e-06,0.0004238951098788453
2,7,128,1.124e-07,8.78125e-10,1.0,1.1334e-07,8.8546875e-10,0.9917063702135169,0.000198708,1.55240625e-06,0.00056565412565171,0.000206195,1.6108984375e-06,0.0005451150609859599
3,8,256,1.9724e-07,7.7046875e-10,1.0,1.7754e-07,6.93515625e-10,1.1109609102174158,0.000199279,7.7843359375e-07,0.0009897681140511546,0.000206508,8.06671875e-07,0.0009551203827454628
4,9,512,3.1372e-07,6.12734375e-10,1.0,2.4266e-07,4.739453125e-10,1.2928377153218495,0.000198336,3.87375e-07,0.0015817602452404,0.0002035,3.974609375e-07,0.0015416216216216213
5,10,1024,5.64583e-07,5.513505859375e-10,1.0,5.4436e-07,5.316015625e-10,1.0371500477625102,0.000208265,2.033837890625e-07,0.0027108875711233282,0.000236008,2.304765625e-07,0.0023922197552625336
6,11,2048,1.30625e-06,6.378173828125e-10,1.0,1.48528e-06,7.25234375e-10,0.8794638048044813,0.000206761,1.0095751953125e-07,0.006317680800537819,0.000235462,1.149716796875e-07,0.005547604284343121
7,12,4096,2.58558e-06,6.312451171875e-10,1.0,2.85744e-06,6.976171875e-10,0.9048588946749538,0.000204975,5.0042724609375e-08,0.012614123673618733,0.000241174,5.888037109375e-08,0.010720807383880518
8,13,8192,5.77633e-06,7.05118408203125e-10,1.0,6.22992e-06,7.6048828125e-10,0.9271916814341115,0.000211679,2.58397216796875e-08,0.027288158012840198,0.000265371,3.23939208984375e-08,0.021766997901051736
9,14,16384,1.18343e-05,7.22308349609375e-10,1.0,1.15778e-05,7.0665283203125e-10,1.0221544680336505,0.000215913,1.317828369140625e-08,0.05481050237827273,0.000261156,1.5939697265625e-08,0.04531506072998514
10,15,32768,2.27127e-05,6.931365966796875e-10,1.0,2.68434e-05,8.19195556640625e-10,0.8461185989852253,0.00021529,6.57012939453125e-09,0.1054981652654559,0.000264908,8.0843505859375e-09,0.08573806755552871
11,16,65536,4.31155e-05,6.578903198242187e-10,1.0,5.47202e-05,8.349639892578125e-10,0.7879265792157192,0.00021321,3.253326416015625e-09,0.20222081515876364,0.00025953,3.960113525390625e-09,0.166129156552229
12,17,131072,9.65787e-05,7.368370056152344e-10,1.0,0.000126249,9.632034301757812e-10,0.7649858612741488,0.00021287,1.6240692138671876e-09,0.45369803166251704,0.000260765,1.989479064941406e-09,0.37036680536114897
13,18,262144,0.000206079,7.861289978027343e-10,1.0,0.000250665,9.562110900878907e-10,0.8221291364969181,0.000231918,8.846969604492188e-10,0.8885856207797582,0.000269715,1.028881072998047e-09,0.7640620655135976
14,19,524288,0.00058927,1.123943328857422e-09,1.0,0.000576943,1.1004314422607422e-09,1.0213660621586536,0.00026489,5.052375793457031e-10,2.2245837894975273,0.000281661,5.372257232666016e-10,2.0921249303240423
15,20,1048576,0.00102777,9.801578521728515e-10,1.0,0.00100458,9.580421447753906e-10,1.0230842740249657,0.000334296,3.1880950927734374e-10,3.0744310431473902,0.000285667,2.724332809448242e-10,3.5977904343168796
16,21,2097152,0.00225844,1.0769081115722656e-09,1.0,0.00208578,9.945774078369142e-10,1.0827795836569531,0.000427001,2.0360994338989257e-10,5.289074264463081,0.000435303,2.0756864547729492e-10,5.188202240738061
17,22,4194304,0.00476003,1.1348795890808106e-09,1.0,0.00470856,1.122608184814453e-09,1.010931155172707,0.00105662,2.51917839050293e-10,4.504959209554996,0.00109754,2.616739273071289e-10,4.336999107094047
18,23,8388608,0.0105935,1.2628436088562012e-09,1.0,0.0103525,1.234114170074463e-09,1.0232794011108428,0.00242479,2.8905749320983887e-10,4.368831940085533,0.00299014,3.5645246505737306e-10,3.5428107045155075
