n,lane,threads,seq,simd,par,simdpar
5,8,40,2.184e-07,1.904e-07,6.08534e-05,5.73019e-05
6,8,40,2.892e-07,2.232e-07,0.000151506,0.000153398
7,8,40,4.58e-07,2.412e-07,0.000390199,0.000388061
8,8,40,6.236e-07,2.912e-07,0.000387697,0.000382799
9,8,40,8.9128e-07,4.2884e-07,0.000381871,0.000385545
10,8,40,1.20008e-06,5.728e-07,0.000383805,0.000385481
11,8,40,1.34833e-06,9.032e-07,0.000387926,0.000386279
12,8,40,3.73533e-06,1.75652e-06,0.000380432,0.00039141
13,8,40,4.92042e-06,3.32604e-06,0.00038578,0.000387966
14,8,40,1.51199e-05,6.24372e-06,0.000395889,0.000387372
15,8,40,2.60712e-05,1.20488e-05,0.000396193,0.000386982
16,8,40,5.51273e-05,2.29961e-05,0.000414392,0.00039141
17,8,40,8.49887e-05,4.11275e-05,0.000403069,0.000407932
18,8,40,0.00017503,9.22897e-05,0.000404829,0.000410966
19,8,40,0.000370113,0.000200499,0.000408025,0.000409207
20,8,40,0.000563831,0.000370706,0.000464864,0.000412756
21,8,40,0.001306,0.000790424,0.000728308,0.000616441
22,8,40,0.00295301,0.001847,0.00118425,0.00136534
23,8,40,0.00565503,0.00375178,0.00177875,0.00222809
