,n_in_2_pow,n,seq_time,seq_grain_size,seq_speed_up,simd_time,simd_grain_size,simd_speed_up,par_time,par_grain_size,par_speed_up,simdpar_time,simdpar_grain_size,simdpar_speed_up
0,5,32,2.4764e-07,7.73875e-09,1.0,2.2824e-07,7.1325e-09,1.0849982474588153,0.000211622,6.6131875e-06,0.0011701996956838137,0.000156822,4.9006875e-06,0.0015791151751667495
1,6,64,2.4944e-07,3.8975e-09,1.0,1.6838e-07,2.6309375e-09,1.4814110939541512,0.000139813,2.184578125e-06,0.001784097330005078,0.000137756,2.1524375e-06,0.0018107378263015766
2,7,128,3.4748e-07,2.7146875e-09,1.0,2.2114e-07,1.72765625e-09,1.571312290856471,0.00014201,1.109453125e-06,0.0024468699387367085,0.000135407,1.0578671875e-06,0.002566189340285214
3,8,256,5.7228e-07,2.23546875e-09,1.0,3.3182e-07,1.296171875e-09,1.724670001808209,0.000141021,5.5086328125e-07,0.004058119003552662,0.0003258,1.27265625e-06,0.001756537753222836
4,9,512,8.18868e-06,1.5993515625e-08,1.0,8.4918e-06,1.6585546875e-08,0.9643043877623119,0.00065215,1.27373046875e-06,0.0125564364026681,0.000158015,3.08623046875e-07,0.0518221687814448
5,10,1024,1.84683e-06,1.803544921875e-09,1.0,9.8128e-07,9.5828125e-10,1.8820622044676343,0.000141255,1.379443359375e-07,0.013074439842837423,0.000134858,1.31697265625e-07,0.013694626940930462
6,11,2048,3.56783e-06,1.7421044921875e-09,1.0,1.8242e-06,8.9072265625e-10,1.9558326937835764,0.000147704,7.212109375e-08,0.024155269999458377,0.000155513,7.593408203125e-08,0.022942326364998423
7,12,4096,7.00692e-06,1.710673828125e-09,1.0,3.57132e-06,8.71904296875e-10,1.9619972447162395,0.000149297,3.6449462890625e-08,0.04693275819339973,0.000154958,3.783154296875e-08,0.04521818815420953
8,13,8192,1.38491e-05,1.69056396484375e-09,1.0,7.39244e-06,9.023974609375e-10,1.8734139201670896,0.000151507,1.84945068359375e-08,0.0914089778030058,0.000158864,1.9392578125e-08,0.08717582334575485
9,14,16384,2.84061e-05,1.733770751953125e-09,1.0,1.4597e-05,8.9093017578125e-10,1.9460231554428993,0.000153603,9.37518310546875e-09,0.184931934923146,0.00016038,9.788818359375e-09,0.17711747100635988
10,15,32768,5.6168e-05,1.714111328125e-09,1.0,2.76337e-05,8.433135986328125e-10,2.032590641137452,0.000149638,4.56658935546875e-09,0.37535920020315694,0.000163483,4.989105224609375e-09,0.34357089116299555
11,16,65536,0.000110976,1.693359375e-09,1.0,6.36722e-05,9.715606689453124e-10,1.7429270545073048,0.000133706,2.040191650390625e-09,0.8300001495819185,0.000153129,2.3365631103515626e-09,0.7247222929686735
12,17,131072,0.000222384,1.6966552734375e-09,1.0,0.000127688,9.7418212890625e-10,1.741620199235637,0.000116583,8.894577026367188e-10,1.9075165332852988,0.00013135,1.0021209716796875e-09,1.6930643319375716
13,18,262144,0.000412052,1.5718536376953125e-09,1.0,0.000233192,8.89556884765625e-10,1.7670074445092454,0.000123061,4.694404602050781e-10,3.348355693517849,0.000114099,4.352531433105469e-10,3.6113550513150856
14,19,524288,0.000894236,1.7056198120117187e-09,1.0,0.000481387,9.181728363037109e-10,1.857623907583711,0.000247772,4.725875854492187e-10,3.609108373827551,0.000140305,2.676105499267578e-10,6.373514842664196
15,20,1048576,0.0025679,2.4489402770996095e-09,1.0,0.000917497,8.749933242797851e-10,2.7988102413413887,0.00049547,4.725170135498047e-10,5.1827557672512965,0.000195672,1.8660736083984376e-10,13.123492374994889
16,21,2097152,0.00302791,1.4438199996948242e-09,1.0,0.00158807,7.572507858276367e-10,1.9066602857556656,0.00057954,2.763462066650391e-10,5.22467819304966,0.000394738,1.8822574615478516e-10,7.670682832663691
17,22,4194304,0.00613579,1.4628863334655763e-09,1.0,0.00456287,1.0878729820251465e-09,1.3447216335332806,0.00228388,5.445194244384765e-10,2.6865640926843795,0.00221203,5.273890495300293e-10,2.773827660565183
18,23,8388608,0.0111863,1.3335108757019043e-09,1.0,0.0092282,1.1000871658325196e-09,1.2121865585921414,0.00427435,5.095422267913818e-10,2.6170762806040684,0.00440499,5.251157283782959e-10,2.53946092953673
19,24,16777216,0.0200425,1.1946260929107667e-09,1.0,0.0156756,9.343385696411134e-10,1.278579448314578,0.00797928,4.756021499633789e-10,2.5118181089020566,0.007982,4.757642745971679e-10,2.51096216487096
20,25,33554432,0.0392707,1.1703580617904663e-09,1.0,0.0318723,9.498685598373413e-10,1.232126329132193,0.0155217,4.625827074050903e-10,2.5300514763202484,0.0155757,4.6419203281402587e-10,2.5212799424744956
